group,country_code,cutoff_year,year,baseline_years_used,crime_male,crime_confidence,settled_pop_male_15_59_fixed,cohort_pop_male_15_59,regularization_added_male_15_59,r_settled_baseline,spanish_trend_adjustment,r_expected_settled,r_cohort_implied,rate_ratio,z,p_value,hypothesis_call
MARRUECOS,MA,2022,2022,"2017,2018,2019,2021",889,high,358559,98690.4617090809,93158.4617090809,0.0018685143496062942,1.2949169804328104,0.002419570959487559,0.00021725560875684373,0.089790963933067,-6.215638899354786,5.111623331873755e-10,significantly below baseline
MARRUECOS,MA,2022,2023,"2017,2018,2019,2021",975,high,358559,123960.4617090809,93158.4617090809,0.0018685143496062942,1.477979215653675,0.0027616253728687474,-0.0001226651777574919,-0.04441774723052628,-9.637015227011494,5.578645720427246e-22,"undefined (implied cohort rate negative -- trend-adjusted settled expectation exceeds observed total; not a valid rate, see B43 caveat)"
MARRUECOS,MA,2022,2024,"2017,2018,2019,2021",1072,medium,358559,148494.4617090809,93158.4617090809,0.0018685143496062942,1.4992025627082242,0.002801281501386847,0.00045506953839545854,0.16245048495489103,-8.82859788086129,1.0599606004696946e-18,significantly below baseline
MARRUECOS,MA,2024,2024,"2017,2018,2019,2021,2022,2023",1072,medium,389361,117692.4617090809,93158.4617090809,0.0020942522376382455,1.329630869643053,0.00278458242398285,-0.00010372624556500808,-0.03725019761370401,-9.273975191819575,1.7933466235151553e-20,"undefined (implied cohort rate negative -- trend-adjusted settled expectation exceeds observed total; not a valid rate, see B43 caveat)"
ARGELIA,DZ,2022,2022,"2018,2019,2021",126,high,30792,26616.825462695455,26550.825462695455,0.00315303524260524,1.1806525631588005,0.003722639140911907,0.00042726716561220174,0.11477533798979433,-6.432947195101094,1.2515313999421274e-10,significantly below baseline
ARGELIA,DZ,2022,2023,"2018,2019,2021",163,high,30792,29593.825462695455,26550.825462695455,0.00315303524260524,1.3475612534432178,0.004248908123675757,0.0010869706958407605,0.2558235349415876,-5.767155078447774,8.062086130443386e-09,significantly below baseline
ARGELIA,DZ,2022,2024,"2018,2019,2021",240,medium,30792,33715.82546269546,26550.825462695455,0.00315303524260524,1.3669118368994537,0.004309921195278244,0.003182152745265011,0.73833200216079,-1.7779738319743557,0.07540815279505052,H1 (no significant difference)
ARGELIA,DZ,2024,2024,"2018,2019,2021,2022,2023",240,medium,33835,30672.825462695455,26550.825462695455,0.003724645183845528,1.2371835312868285,0.004608069681340489,0.002741383001514178,0.5949091899835831,-3.087196137024133,0.002020542296528954,significantly below baseline
MARRUECOS+ARGELIA,MA+DZ,2022,2022,"2017,2018,2019,2021",1015,high,389351,125307.28717177636,119709.28717177636,0.0019119209323028954,1.2949169804328104,0.002475778880483949,0.0004074225710010662,0.1645633922369618,-6.911410316662296,4.798588662961015e-12,significantly below baseline
MARRUECOS+ARGELIA,MA+DZ,2022,2023,"2017,2018,2019,2021",1138,high,389351,153554.28717177635,119709.28717177636,0.0019119209323028954,1.477979215653675,0.0028257793999168766,0.0002460365357347584,0.08706855734810574,-9.812154963717948,9.981382654798871e-23,significantly below baseline
MARRUECOS+ARGELIA,MA+DZ,2022,2024,"2017,2018,2019,2021",1312,medium,389351,182210.28717177635,119709.28717177636,0.0019119209323028954,1.4992025627082242,0.002866356761403998,0.0010755766407734885,0.37524171982229104,-7.359531449461892,1.845568744444818e-13,significantly below baseline
MARRUECOS+ARGELIA,MA+DZ,2024,2024,"2017,2018,2019,2021,2022,2023",1312,medium,423196,148365.28717177635,119709.28717177636,0.0021801180160834948,1.329630869643053,0.0028987522136495847,0.0005746604196818442,0.1982440641100316,-8.433566978288207,3.352856461768827e-17,significantly below baseline
