group,country_code,baseline,year,role,crime_male,crime_confidence,settled_pop_male_15_59,cohort_pop_male_15_59,cohort_window,regularization_added_male_15_59,r_settled_baseline,spanish_trend_adjustment,r_expected_settled,r_cohort_implied,rate_ratio,z,p_value,hypothesis_call
MARRUECOS,MA,pre_2022_pooled_2019_2021,2019,baseline,744,high,293568,25753,2016->2019 (net delta),0,0.002258511831002537,1.0,0.002258511831002537,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2022_pooled_2019_2021,2021,baseline,787,high,299866,58693,2018->2021 (net delta),0,0.002258511831002537,1.0,0.002258511831002537,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2022_pooled_2019_2021,2022,test,889,high,319321,44770,2019->2022 (net delta),0,0.002258511831002537,1.1102917375183008,0.002507607025049446,0.00197159743475957,0.7862465749475612,-0.6401602246213433,0.522068438770419,H1 (no significant difference)
MARRUECOS,MA,pre_2022_pooled_2019_2021,2023,test,975,high,347574,41787,2020->2023 (net delta),0,0.002258511831002537,1.2639319844717463,0.0028546053405119538,-0.0004112905119559164,-0.14407964075417665,-3.4161605922712592,0.0006351078056439739,"undefined (implied cohort rate negative -- trend-adjusted settled expectation exceeds observed total; not a valid rate, see B43 caveat)"
MARRUECOS,MA,pre_2022_pooled_2019_2021,2024,test,1072,medium,358559,55336,2021->2024 (net delta),0,0.002258511831002537,1.277389528309358,0.0028849993624854354,0.0006787175362618317,0.23525743023981627,-2.8597091758445714,0.00424029671426843,significantly below baseline
MARRUECOS,MA,pre_2020_pooled_2017_2019,2017,baseline,289,high,307683,-18112,2014->2017 (net delta),0,0.001739737091722989,1.0,0.001739737091722989,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2018,baseline,548,high,295711,4155,2015->2018 (net delta),0,0.001739737091722989,1.0,0.001739737091722989,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2019,baseline,744,high,293568,25753,2016->2019 (net delta),0,0.001739737091722989,1.0,0.001739737091722989,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2022,test,889,high,319321,44770,2019->2022 (net delta),0,0.001739737091722989,1.3713777871665465,0.0023858368030986355,0.0028401207549193794,1.190408644560574,0.5457340697524042,0.5852487490225137,H1 (no significant difference)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2023,test,975,high,347574,41787,2020->2023 (net delta),0,0.001739737091722989,1.5611466693143023,0.002715984766225895,0.0007417213694163426,0.2730948194702252,-2.077923186483571,0.03771643456800495,significantly below baseline
MARRUECOS,MA,pre_2020_pooled_2017_2019,2024,test,1072,medium,358559,55336,2021->2024 (net delta),0,0.001739737091722989,1.5777687660705764,0.0027449028444949935,0.001586496692582038,0.5779791790313515,-1.511362127432206,0.13069621300807419,H1 (no significant difference)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2019,baseline,94,high,26460,835,2016->2019 (net delta),0,0.0033398178594177697,1.0,0.0033398178594177697,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2021,baseline,100,high,25959,4833,2018->2021 (net delta),0,0.0033398178594177697,1.0,0.0033398178594177697,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2022,test,126,high,27295,3563,2019->2022 (net delta),0,0.0033398178594177697,1.1102917375183008,0.0037081721741276078,0.006956340305132458,1.8759485747904951,0.8027770099630216,0.42210363248313604,H1 (no significant difference)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2023,test,163,high,29817,4018,2020->2023 (net delta),0,0.0033398178594177697,1.2639319844717463,0.004221302614828081,0.009241767031774787,2.1893163971025023,1.1647340729411555,0.2441266522984124,H1 (no significant difference)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2024,test,240,medium,30792,7165,2021->2024 (net delta),0,0.0033398178594177697,1.277389528309358,0.004266248360080834,0.01516171395623042,3.553875132563343,3.3690881004880375,0.0007541731880965464,H2 (significantly elevated)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2018,baseline,71,high,26835,-876,2015->2018 (net delta),0,0.003098358808727983,1.0,0.003098358808727983,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2019,baseline,94,high,26460,835,2016->2019 (net delta),0,0.003098358808727983,1.0,0.003098358808727983,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2022,test,126,high,27295,3563,2019->2022 (net delta),0,0.003098358808727983,1.2283340926854316,0.0038058197561328016,0.006208293504449951,1.6312631449363144,0.5742284137216993,0.5658132441690725,H1 (no significant difference)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2023,test,163,high,29817,4018,2020->2023 (net delta),0,0.003098358808727983,1.3983088362274776,0.004332462500047579,0.0084168655142064,1.9427439970026206,0.9116954103372493,0.36192908072580726,H1 (no significant difference)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2024,test,240,medium,30792,7165,2021->2024 (net delta),0,0.003098358808727983,1.41319713931122,0.004378591805054104,0.014678911533673972,3.3524274897537727,3.040715164933136,0.0023601698917286584,H2 (significantly elevated)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2019,baseline,838,high,320028,26588,2016->2019 (net delta),0,0.002343855091328823,1.0,0.002343855091328823,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2021,baseline,887,high,325825,63526,2018->2021 (net delta),0,0.002343855091328823,1.0,0.002343855091328823,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2022,test,1015,high,346616,48333,2019->2022 (net delta),0,0.002343855091328823,1.1102917375183008,0.002602362941842595,0.0023375202563525373,0.8982299197272858,-0.31879975758996015,0.7498783621094294,H1 (no significant difference)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2023,test,1138,high,377391,45805,2020->2023 (net delta),0,0.002343855091328823,1.2639319844717463,0.0029624734168974456,0.00043639765797742725,0.1473085481504371,-2.662392022919247,0.007758745803501814,significantly below baseline
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2024,test,1312,medium,389351,62501,2021->2024 (net delta),0,0.002343855091328823,1.277389528309358,0.0029940159495380125,0.002340392890216563,0.7816901879155634,-0.8500012562931585,0.39532438778473644,H1 (no significant difference)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2017,baseline,289,high,335618,-20261,2014->2017 (net delta),0,0.0017675678630651205,1.0,0.0017675678630651205,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2018,baseline,619,high,322546,3279,2015->2018 (net delta),0,0.0017675678630651205,1.0,0.0017675678630651205,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2019,baseline,838,high,320028,26588,2016->2019 (net delta),0,0.0017675678630651205,1.0,0.0017675678630651205,,,,,n/a (baseline year)
