group,country_code,baseline,year,role,crime_male,crime_confidence,settled_pop_male_15_59,cohort_pop_male_15_59,cohort_window,regularization_added_male_15_59,r_settled_baseline,spanish_trend_adjustment,r_expected_settled,r_cohort_implied,rate_ratio,z,p_value,hypothesis_call
MARRUECOS,MA,pre_2022_pooled_2019_2021,2019,baseline,744,high,293568,118911.4617090809,2016->2019 (net delta),93158.4617090809,0.0017715869595374503,1.0,0.0017715869595374503,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2022_pooled_2019_2021,2021,baseline,787,high,299866,151851.4617090809,2018->2021 (net delta),93158.4617090809,0.0017715869595374503,1.0,0.0017715869595374503,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2022_pooled_2019_2021,2022,test,889,high,319321,137928.4617090809,2019->2022 (net delta),93158.4617090809,0.0017715869595374503,1.12132623121219,0.0019865269286027916,0.0018463211397859135,0.9294216520309186,-0.5158802120202992,0.6059380754040512,H1 (no significant difference)
MARRUECOS,MA,pre_2022_pooled_2019_2021,2023,test,975,high,347574,134945.4617090809,2020->2023 (net delta),93158.4617090809,0.0017715869595374503,1.2798479661182236,0.0022673619669655734,0.0013851813119650032,0.6109220019328458,-2.9799609141970635,0.0028828516501857495,significantly below baseline
MARRUECOS,MA,pre_2022_pooled_2019_2021,2024,test,1072,medium,358559,148494.4617090809,2021->2024 (net delta),93158.4617090809,0.0017715869595374503,1.2982262066741794,0.002299920618273747,0.0016656699528428123,0.7242293232246492,-2.2060954887819313,0.027377314521674745,significantly below baseline
MARRUECOS,MA,pre_2020_pooled_2017_2019,2017,baseline,289,high,307683,75046.4617090809,2014->2017 (net delta),93158.4617090809,0.0013305466920799382,1.0,0.0013305466920799382,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2018,baseline,548,high,295711,97313.4617090809,2015->2018 (net delta),93158.4617090809,0.0013305466920799382,1.0,0.0013305466920799382,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2019,baseline,744,high,293568,118911.4617090809,2016->2019 (net delta),93158.4617090809,0.0013305466920799382,1.0,0.0013305466920799382,,,,,n/a (baseline year)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2022,test,889,high,319321,137928.4617090809,2019->2022 (net delta),93158.4617090809,0.0013305466920799382,1.3905154068134538,0.0018501456748218304,0.0021620601670973676,1.1685891530165995,1.1543992183992022,0.24833653546859236,H1 (no significant difference)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2023,test,975,high,347574,134945.4617090809,2020->2023 (net delta),93158.4617090809,0.0013305466920799382,1.5870923784083741,0.002111700514116544,0.0017861127188261484,0.845817248651564,-1.1066482532832327,0.26844603623787766,H1 (no significant difference)
MARRUECOS,MA,pre_2020_pooled_2017_2019,2024,test,1072,medium,358559,148494.4617090809,2021->2024 (net delta),93158.4617090809,0.0013305466920799382,1.6098825584040335,0.0021420239127216746,0.002046931881364846,0.9556064566823608,-0.33293104856301303,0.7391863317640885,H1 (no significant difference)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2019,baseline,94,high,26460,27385.825462695455,2016->2019 (net delta),26550.825462695455,0.0017447823890783297,1.0,0.0017447823890783297,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2021,baseline,100,high,25959,31383.825462695455,2018->2021 (net delta),26550.825462695455,0.0017447823890783297,1.0,0.0017447823890783297,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2022,test,126,high,27295,30113.825462695455,2019->2022 (net delta),26550.825462695455,0.0017447823890783297,1.12132623121219,0.0019564702606306044,0.002410791160559163,1.2322145698151952,0.9490066334761627,0.3426172382970414,H1 (no significant difference)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2023,test,163,high,29817,30568.825462695455,2020->2023 (net delta),26550.825462695455,0.0017447823890783297,1.2798479661182236,0.002233056191980795,0.003154094475804139,1.4124563847210454,1.6256587629901398,0.10402226700831654,H1 (no significant difference)
ARGELIA,DZ,pre_2022_pooled_2019_2021,2024,test,240,medium,30792,33715.82546269546,2021->2024 (net delta),26550.825462695455,0.0017447823890783297,1.2982262066741794,0.0022651222224450724,0.0050496274135374605,2.2292957808195757,4.051652670083329,5.0857124218034226e-05,H2 (significantly elevated)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2018,baseline,71,high,26835,25674.825462695455,2015->2018 (net delta),26550.825462695455,0.0015513985252720462,1.0,0.0015513985252720462,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2019,baseline,94,high,26460,27385.825462695455,2016->2019 (net delta),26550.825462695455,0.0015513985252720462,1.0,0.0015513985252720462,,,,,n/a (baseline year)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2022,test,126,high,27295,30113.825462695455,2019->2022 (net delta),26550.825462695455,0.0015513985252720462,1.2435939040266046,0.001929309748744181,0.002435409293943057,1.2623215611325782,1.02237937824107,0.30660137684607436,H1 (no significant difference)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2023,test,163,high,29817,30568.825462695455,2020->2023 (net delta),26550.825462695455,0.0015513985252720462,1.419400603002828,0.0022020560022688405,0.003184332230858528,1.4460723194948812,1.6681059614025793,0.09529469398175414,H1 (no significant difference)
ARGELIA,DZ,pre_2020_pooled_2017_2019,2024,test,240,medium,30792,33715.82546269546,2021->2024 (net delta),26550.825462695455,0.0015513985252720462,1.4397827784000932,0.002233676879121994,0.005078345826873523,2.2735364610434172,3.9516126646911522,7.762631126191475e-05,H2 (significantly elevated)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2019,baseline,838,high,320028,146297.28717177635,2016->2019 (net delta),119709.28717177636,0.0017685313842794401,1.0,0.0017685313842794401,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2021,baseline,887,high,325825,183235.28717177635,2018->2021 (net delta),119709.28717177636,0.0017685313842794401,1.0,0.0017685313842794401,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2022,test,1015,high,346616,168042.28717177635,2019->2022 (net delta),119709.28717177636,0.0017685313842794401,1.12132623121219,0.001983100631914542,0.001949661581512535,0.9831379961945128,-0.1399454448656513,0.8887030947543669,H1 (no significant difference)
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2023,test,1138,high,377391,165514.28717177635,2020->2023 (net delta),119709.28717177636,0.0017685313842794401,1.2798479661182236,0.002263451295186288,0.0017146184604826334,0.7575239034871815,-2.090202286083244,0.03659963227735653,significantly below baseline
MARRUECOS+ARGELIA,MA+DZ,pre_2022_pooled_2019_2021,2024,test,1312,medium,389351,182210.28717177635,2021->2024 (net delta),119709.28717177636,0.0017685313842794401,1.2982262066741794,0.002295953790397333,0.002294426413810982,0.9993347529062915,-0.0057906092225474375,0.9953797881238747,H1 (no significant difference)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2017,baseline,289,high,335618,99448.28717177636,2014->2017 (net delta),119709.28717177636,0.001296285155617772,1.0,0.001296285155617772,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2018,baseline,619,high,322546,122988.28717177636,2015->2018 (net delta),119709.28717177636,0.001296285155617772,1.0,0.001296285155617772,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2019,baseline,838,high,320028,146297.28717177635,2016->2019 (net delta),119709.28717177636,0.001296285155617772,1.0,0.001296285155617772,,,,,n/a (baseline year)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2022,test,1015,high,346616,168042.28717177635,2019->2022 (net delta),119709.28717177636,0.001296285155617772,1.3905154068134538,0.0018025044805100876,0.0023221720767500694,1.2883030815506888,2.17971702597258,0.029278443704765265,H2 (significantly elevated)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2023,test,1138,high,377391,165514.28717177635,2020->2023 (net delta),119709.28717177636,0.001296285155617772,1.5870923784083741,0.002057324290724879,0.0021846109769592436,1.0618700157326757,0.4859278929192099,0.6270182912895588,H1 (no significant difference)
MARRUECOS+ARGELIA,MA+DZ,pre_2020_pooled_2017_2019,2024,test,1312,medium,389351,182210.28717177635,2021->2024 (net delta),119709.28717177636,0.001296285155617772,1.6098825584040335,0.0020868668627471096,0.00274120801780898,1.3135519408269816,2.4872165022324855,0.012874702121484422,H2 (significantly elevated)
