year,origin,role,count,population,rate_per_100k,confidence,notes
2006,españa,victim,49,20882568,0.23,medium,"españa 2006 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2006,otro_pais,victim,20,1577250,1.27,medium,"otro_pais 2006 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2006,españa,perpetrator,50,20099082,0.25,medium,"españa 2006 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2006,otro_pais,perpetrator,19,1801625,1.05,medium,"otro_pais 2006 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2007,españa,victim,43,21111797,0.2,medium,"españa 2007 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2007,otro_pais,victim,28,1762130,1.59,medium,"otro_pais 2007 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2007,españa,perpetrator,44,20361985,0.22,medium,"españa 2007 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2007,otro_pais,perpetrator,27,2000090,1.35,medium,"otro_pais 2007 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2008,españa,victim,40,21260918,0.19,medium,"españa 2008 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2008,otro_pais,victim,36,1965388,1.83,medium,"otro_pais 2008 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2008,españa,perpetrator,45,20523661,0.22,medium,"españa 2008 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2008,otro_pais,perpetrator,31,2233200,1.39,medium,"otro_pais 2008 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2009,españa,victim,37,21347322,0.17,medium,"españa 2009 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2009,otro_pais,victim,21,2085726,1.01,medium,"otro_pais 2009 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2009,españa,perpetrator,33,20576227,0.16,medium,"españa 2009 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2009,otro_pais,perpetrator,25,2358270,1.06,medium,"otro_pais 2009 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2010,españa,victim,46,21445708,0.21,medium,"españa 2010 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2010,otro_pais,victim,28,2108191,1.33,medium,"otro_pais 2010 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2010,españa,perpetrator,45,20664252,0.22,medium,"españa 2010 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2010,otro_pais,perpetrator,29,2344335,1.24,medium,"otro_pais 2010 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2011,españa,victim,38,21590210,0.18,medium,"españa 2011 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2011,otro_pais,victim,24,2072771,1.16,medium,"otro_pais 2011 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2011,españa,perpetrator,40,20795227,0.19,medium,"españa 2011 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2011,otro_pais,perpetrator,22,2278047,0.97,medium,"otro_pais 2011 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
