year,nationality_group,count,total_convicted,pct_of_total
2017,africa,143.0,2764.0,5.2
2017,america,214.0,2764.0,7.7
2017,asia,61.0,2764.0,2.2
2017,española,2103.0,2764.0,76.1
2017,europa_no_ue,33.0,2764.0,1.2
2017,oceania,2.0,2764.0,0.1
2017,ue_excl_espana,208.0,2764.0,7.5
2018,africa,177.0,2917.0,6.1
2018,america,271.0,2917.0,9.3
2018,asia,64.0,2917.0,2.2
2018,española,2184.0,2917.0,74.9
2018,europa_no_ue,18.0,2917.0,0.6
2018,oceania,0.0,2917.0,0.0
2018,ue_excl_espana,203.0,2917.0,7.0
2019,africa,258.0,3296.0,7.8
2019,america,262.0,3296.0,7.9
2019,asia,47.0,3296.0,1.4
2019,española,2458.0,3296.0,74.6
2019,europa_no_ue,26.0,3296.0,0.8
2019,oceania,2.0,3296.0,0.1
2019,ue_excl_espana,243.0,3296.0,7.4
2020,africa,257.0,2885.0,8.9
2020,america,257.0,2885.0,8.9
2020,asia,63.0,2885.0,2.2
2020,española,2118.0,2885.0,73.4
2020,europa_no_ue,35.0,2885.0,1.2
2020,oceania,0.0,2885.0,0.0
2020,ue_excl_espana,155.0,2885.0,5.4
2021,africa,333.0,3881.0,8.6
2021,america,398.0,3881.0,10.3
2021,asia,83.0,3881.0,2.1
2021,española,2782.0,3881.0,71.7
2021,europa_no_ue,51.0,3881.0,1.3
2021,oceania,1.0,3881.0,0.0
2021,ue_excl_espana,233.0,3881.0,6.0
2022,africa,318.0,3785.0,8.4
2022,america,437.0,3785.0,11.5
2022,asia,86.0,3785.0,2.3
2022,española,2651.0,3785.0,70.0
2022,europa_no_ue,85.0,3785.0,2.2
2022,oceania,0.0,3785.0,0.0
2022,ue_excl_espana,208.0,3785.0,5.5
2023,africa,355.0,3423.0,10.4
2023,america,386.0,3423.0,11.3
2023,asia,60.0,3423.0,1.8
2023,española,2369.0,3423.0,69.2
2023,europa_no_ue,60.0,3423.0,1.8
2023,oceania,1.0,3423.0,0.0
2023,ue_excl_espana,192.0,3423.0,5.6
2024,africa,501.0,5073.0,9.9
2024,america,776.0,5073.0,15.3
2024,asia,79.0,5073.0,1.6
2024,española,3325.0,5073.0,65.5
2024,europa_no_ue,105.0,5073.0,2.1
2024,oceania,2.0,5073.0,0.0
2024,ue_excl_espana,285.0,5073.0,5.6
