year,crime_label,nationality_label,count
2017,abusos_agresiones_menores16,africa,17.0
2017,abusos_agresiones_menores16,america,39.0
2017,abusos_agresiones_menores16,asia,3.0
2017,abusos_agresiones_menores16,española,249.0
2017,abusos_agresiones_menores16,europa_no_ue28,0.0
2017,abusos_agresiones_menores16,oceania,0.0
2017,abusos_agresiones_menores16,total,320.0
2017,abusos_agresiones_menores16,ue28_excl_espana,12.0
2017,abusos_sexuales,africa,47.0
2017,abusos_sexuales,america,86.0
2017,abusos_sexuales,asia,40.0
2017,abusos_sexuales,española,715.0
2017,abusos_sexuales,europa_no_ue28,12.0
2017,abusos_sexuales,oceania,1.0
2017,abusos_sexuales,total,956.0
2017,abusos_sexuales,ue28_excl_espana,55.0
2017,acoso_sexual,africa,2.0
2017,acoso_sexual,america,1.0
2017,acoso_sexual,asia,1.0
2017,acoso_sexual,española,38.0
2017,acoso_sexual,europa_no_ue28,0.0
2017,acoso_sexual,oceania,0.0
2017,acoso_sexual,total,45.0
2017,acoso_sexual,ue28_excl_espana,3.0
2017,agresion_sexual,africa,41.0
2017,agresion_sexual,america,38.0
2017,agresion_sexual,asia,11.0
2017,agresion_sexual,española,223.0
2017,agresion_sexual,europa_no_ue28,3.0
2017,agresion_sexual,oceania,0.0
2017,agresion_sexual,total,360.0
2017,agresion_sexual,ue28_excl_espana,44.0
2017,agresiones_sexuales,africa,52.0
2017,agresiones_sexuales,america,41.0
2017,agresiones_sexuales,asia,11.0
2017,agresiones_sexuales,española,235.0
2017,agresiones_sexuales,europa_no_ue28,3.0
2017,agresiones_sexuales,oceania,0.0
2017,agresiones_sexuales,total,387.0
2017,agresiones_sexuales,ue28_excl_espana,45.0
2017,cap8_total,africa,143.0
2017,cap8_total,america,214.0
2017,cap8_total,asia,61.0
2017,cap8_total,española,2103.0
2017,cap8_total,europa_no_ue28,33.0
2017,cap8_total,oceania,2.0
2017,cap8_total,total,2764.0
2017,cap8_total,ue28_excl_espana,208.0
2017,exhibicionismo,africa,17.0
2017,exhibicionismo,america,23.0
2017,exhibicionismo,asia,1.0
2017,exhibicionismo,española,344.0
2017,exhibicionismo,europa_no_ue28,3.0
2017,exhibicionismo,oceania,1.0
2017,exhibicionismo,total,414.0
2017,exhibicionismo,ue28_excl_espana,25.0
2017,prostitucion_menores,africa,8.0
2017,prostitucion_menores,america,24.0
2017,prostitucion_menores,asia,5.0
2017,prostitucion_menores,española,522.0
2017,prostitucion_menores,europa_no_ue28,15.0
2017,prostitucion_menores,oceania,0.0
2017,prostitucion_menores,total,642.0
2017,prostitucion_menores,ue28_excl_espana,68.0
2017,violacion,africa,11.0
2017,violacion,america,3.0
2017,violacion,asia,0.0
2017,violacion,española,12.0
2017,violacion,europa_no_ue28,0.0
2017,violacion,oceania,0.0
2017,violacion,total,27.0
2017,violacion,ue28_excl_espana,1.0
2018,abusos_agresiones_menores16,africa,14.0
2018,abusos_agresiones_menores16,america,56.0
2018,abusos_agresiones_menores16,asia,13.0
2018,abusos_agresiones_menores16,española,355.0
2018,abusos_agresiones_menores16,europa_no_ue28,0.0
2018,abusos_agresiones_menores16,oceania,0.0
2018,abusos_agresiones_menores16,total,453.0
2018,abusos_agresiones_menores16,ue28_excl_espana,15.0
2018,abusos_sexuales,africa,61.0
2018,abusos_sexuales,america,95.0
2018,abusos_sexuales,asia,20.0
2018,abusos_sexuales,española,741.0
2018,abusos_sexuales,europa_no_ue28,15.0
2018,abusos_sexuales,oceania,0.0
2018,abusos_sexuales,total,1011.0
2018,abusos_sexuales,ue28_excl_espana,79.0
2018,acoso_sexual,africa,2.0
2018,acoso_sexual,america,6.0
2018,acoso_sexual,asia,0.0
2018,acoso_sexual,española,49.0
2018,acoso_sexual,europa_no_ue28,0.0
2018,acoso_sexual,oceania,0.0
2018,acoso_sexual,total,59.0
2018,acoso_sexual,ue28_excl_espana,2.0
2018,agresion_sexual,africa,60.0
2018,agresion_sexual,america,36.0
2018,agresion_sexual,asia,24.0
2018,agresion_sexual,española,197.0
2018,agresion_sexual,europa_no_ue28,0.0
2018,agresion_sexual,oceania,0.0
2018,agresion_sexual,total,354.0
2018,agresion_sexual,ue28_excl_espana,37.0
2018,agresiones_sexuales,africa,68.0
2018,agresiones_sexuales,america,42.0
2018,agresiones_sexuales,asia,24.0
2018,agresiones_sexuales,española,213.0
2018,agresiones_sexuales,europa_no_ue28,0.0
2018,agresiones_sexuales,oceania,0.0
2018,agresiones_sexuales,total,386.0
2018,agresiones_sexuales,ue28_excl_espana,39.0
2018,cap8_total,africa,177.0
2018,cap8_total,america,271.0
2018,cap8_total,asia,64.0
2018,cap8_total,española,2184.0
2018,cap8_total,europa_no_ue28,18.0
2018,cap8_total,oceania,0.0
2018,cap8_total,total,2917.0
2018,cap8_total,ue28_excl_espana,203.0
2018,exhibicionismo,africa,19.0
2018,exhibicionismo,america,22.0
2018,exhibicionismo,asia,3.0
2018,exhibicionismo,española,320.0
2018,exhibicionismo,europa_no_ue28,2.0
2018,exhibicionismo,oceania,0.0
2018,exhibicionismo,total,394.0
2018,exhibicionismo,ue28_excl_espana,28.0
2018,prostitucion_menores,africa,13.0
2018,prostitucion_menores,america,50.0
2018,prostitucion_menores,asia,4.0
2018,prostitucion_menores,española,506.0
2018,prostitucion_menores,europa_no_ue28,1.0
2018,prostitucion_menores,oceania,0.0
2018,prostitucion_menores,total,614.0
2018,prostitucion_menores,ue28_excl_espana,40.0
2018,violacion,africa,8.0
2018,violacion,america,6.0
2018,violacion,asia,0.0
2018,violacion,española,16.0
