sex,nationality,age,year,count
all,africa,18-20,2017,9
female,africa,18-20,2017,0
male,africa,18-20,2017,9
all,africa,21-25,2017,16
female,africa,21-25,2017,3
male,africa,21-25,2017,13
all,africa,26-30,2017,29
female,africa,26-30,2017,0
male,africa,26-30,2017,29
all,africa,31-35,2017,31
female,africa,31-35,2017,3
male,africa,31-35,2017,28
all,africa,36-40,2017,26
female,africa,36-40,2017,2
male,africa,36-40,2017,24
all,africa,41-50,2017,23
female,africa,41-50,2017,0
male,africa,41-50,2017,23
all,africa,51-60,2017,3
female,africa,51-60,2017,0
male,africa,51-60,2017,3
all,africa,61-70,2017,0
female,africa,61-70,2017,0
male,africa,61-70,2017,0
all,africa,71+,2017,0
female,africa,71+,2017,0
male,africa,71+,2017,0
all,africa,total,2017,137
female,africa,total,2017,8
male,africa,total,2017,129
all,america,18-20,2017,12
female,america,18-20,2017,1
male,america,18-20,2017,11
all,america,21-25,2017,15
female,america,21-25,2017,0
male,america,21-25,2017,15
all,america,26-30,2017,29
female,america,26-30,2017,3
male,america,26-30,2017,26
all,america,31-35,2017,50
female,america,31-35,2017,2
male,america,31-35,2017,48
all,america,36-40,2017,35
female,america,36-40,2017,1
male,america,36-40,2017,34
all,america,41-50,2017,26
female,america,41-50,2017,0
male,america,41-50,2017,26
all,america,51-60,2017,12
female,america,51-60,2017,0
male,america,51-60,2017,12
all,america,61-70,2017,4
female,america,61-70,2017,0
male,america,61-70,2017,4
all,america,71+,2017,1
female,america,71+,2017,0
male,america,71+,2017,1
all,america,total,2017,184
female,america,total,2017,7
male,america,total,2017,177
all,asia,18-20,2017,5
female,asia,18-20,2017,0
male,asia,18-20,2017,5
all,asia,21-25,2017,5
female,asia,21-25,2017,1
male,asia,21-25,2017,4
all,asia,26-30,2017,12
female,asia,26-30,2017,2
male,asia,26-30,2017,10
all,asia,31-35,2017,6
female,asia,31-35,2017,1
male,asia,31-35,2017,5
all,asia,36-40,2017,5
female,asia,36-40,2017,0
male,asia,36-40,2017,5
all,asia,41-50,2017,19
female,asia,41-50,2017,3
male,asia,41-50,2017,16
all,asia,51-60,2017,5
female,asia,51-60,2017,0
male,asia,51-60,2017,5
all,asia,61-70,2017,1
female,asia,61-70,2017,0
male,asia,61-70,2017,1
all,asia,71+,2017,0
female,asia,71+,2017,0
male,asia,71+,2017,0
all,asia,total,2017,58
female,asia,total,2017,7
male,asia,total,2017,51
all,espanola,18-20,2017,100
female,espanola,18-20,2017,1
male,espanola,18-20,2017,99
all,espanola,21-25,2017,156
female,espanola,21-25,2017,5
male,espanola,21-25,2017,151
all,espanola,26-30,2017,184
female,espanola,26-30,2017,1
male,espanola,26-30,2017,183
all,espanola,31-35,2017,194
female,espanola,31-35,2017,3
male,espanola,31-35,2017,191
all,espanola,36-40,2017,212
female,espanola,36-40,2017,11
male,espanola,36-40,2017,201
all,espanola,41-50,2017,369
female,espanola,41-50,2017,7
male,espanola,41-50,2017,362
all,espanola,51-60,2017,264
female,espanola,51-60,2017,2
male,espanola,51-60,2017,262
