year,sex,age_group,deaths_all_cause
2000,all,1-4,383
2000,all,10-14,365
2000,all,15-19,1198
2000,all,20-24,1996
2000,all,25-29,2339
2000,all,30-34,2975
2000,all,35-39,4052
2000,all,40-44,5267
2000,all,45-49,6523
2000,all,5-9,300
2000,all,50-54,9331
2000,all,55-59,12024
2000,all,60-64,17127
2000,all,65-69,29420
2000,all,70-74,41327
2000,all,75-79,55264
2000,all,80-84,58873
2000,all,85-89,59660
2000,all,90-94,37319
2000,all,95+,12908
2000,all,<1,1740
2000,all,all,360391
2000,female,1-4,163
2000,female,10-14,145
2000,female,15-19,336
2000,female,20-24,463
2000,female,25-29,533
2000,female,30-34,784
2000,female,35-39,1117
2000,female,40-44,1589
2000,female,45-49,1920
2000,female,5-9,119
2000,female,50-54,2640
2000,female,55-59,3402
2000,female,60-64,5002
2000,female,65-69,9412
2000,female,70-74,15027
2000,female,75-79,23757
2000,female,80-84,31801
2000,female,85-89,36969
2000,female,90-94,25485
2000,female,95+,9478
2000,female,<1,781
2000,female,all,170923
2000,male,1-4,220
2000,male,10-14,220
2000,male,15-19,862
2000,male,20-24,1533
2000,male,25-29,1806
2000,male,30-34,2191
2000,male,35-39,2935
2000,male,40-44,3678
2000,male,45-49,4603
2000,male,5-9,181
2000,male,50-54,6691
2000,male,55-59,8622
2000,male,60-64,12125
2000,male,65-69,20008
2000,male,70-74,26300
2000,male,75-79,31507
2000,male,80-84,27072
2000,male,85-89,22691
2000,male,90-94,11834
2000,male,95+,3430
2000,male,<1,959
2000,male,all,189468
2001,all,1-4,370
2001,all,10-14,346
2001,all,15-19,1043
2001,all,20-24,1794
2001,all,25-29,2179
2001,all,30-34,2993
2001,all,35-39,4084
2001,all,40-44,5069
2001,all,45-49,6663
2001,all,5-9,259
2001,all,50-54,9342
2001,all,55-59,12468
2001,all,60-64,16389
2001,all,65-69,28259
2001,all,70-74,41353
2001,all,75-79,55099
2001,all,80-84,59497
2001,all,85-89,59209
2001,all,90-94,38089
2001,all,95+,13969
2001,all,<1,1657
2001,all,all,360131
2001,female,1-4,151
2001,female,10-14,142
2001,female,15-19,283
2001,female,20-24,404
2001,female,25-29,570
2001,female,30-34,805
2001,female,35-39,1149
2001,female,40-44,1535
2001,female,45-49,2036
2001,female,5-9,103
2001,female,50-54,2674
2001,female,55-59,3452
2001,female,60-64,4731
2001,female,65-69,9074
2001,female,70-74,14889
2001,female,75-79,23482
2001,female,80-84,31449
2001,female,85-89,36506
2001,female,90-94,25882
2001,female,95+,10365
2001,female,<1,735
2001,female,all,170417
2001,male,1-4,219
2001,male,10-14,204
2001,male,15-19,760
2001,male,20-24,1390
2001,male,25-29,1609
2001,male,30-34,2188
2001,male,35-39,2935
2001,male,40-44,3534
2001,male,45-49,4627
2001,male,5-9,156
2001,male,50-54,6668
2001,male,55-59,9016
2001,male,60-64,11658
2001,male,65-69,19185
2001,male,70-74,26464
2001,male,75-79,31617
2001,male,80-84,28048
2001,male,85-89,22703
2001,male,90-94,12207
2001,male,95+,3604
2001,male,<1,922
2001,male,all,189714
2002,all,1-4,396
2002,all,10-14,320
2002,all,15-19,972
2002,all,20-24,1816
2002,all,25-29,2180
2002,all,30-34,2848
2002,all,35-39,3963
2002,all,40-44,5276
2002,all,45-49,6950
2002,all,5-9,278
2002,all,50-54,9381
2002,all,55-59,12664
2002,all,60-64,15761
2002,all,65-69,27619
2002,all,70-74,41042
2002,all,75-79,56332
2002,all,80-84,63052
2002,all,85-89,60360
2002,all,90-94,40554
2002,all,95+,15117
2002,all,<1,1737
2002,all,all,368618
2002,female,1-4,174
2002,female,10-14,122
2002,female,15-19,268
2002,female,20-24,425
2002,female,25-29,532
2002,female,30-34,746
2002,female,35-39,1142
2002,female,40-44,1541
2002,female,45-49,2103
2002,female,5-9,122
2002,female,50-54,2708
2002,female,55-59,3558
2002,female,60-64,4568
2002,female,65-69,8604
2002,female,70-74,14744
2002,female,75-79,23843
2002,female,80-84,32878
2002,female,85-89,37309
2002,female,90-94,27891
2002,female,95+,11325
2002,female,<1,746
2002,female,all,175349
2002,male,1-4,222
2002,male,10-14,198
2002,male,15-19,704
2002,male,20-24,1391
2002,male,25-29,1648
2002,male,30-34,2102
2002,male,35-39,2821
2002,male,40-44,3735
2002,male,45-49,4847
2002,male,5-9,156
2002,male,50-54,6673
2002,male,55-59,9106
2002,male,60-64,11193
2002,male,65-69,19015
2002,male,70-74,26298
2002,male,75-79,32489
2002,male,80-84,30174
2002,male,85-89,23051
2002,male,90-94,12663
2002,male,95+,3792
