year,sex,cause_chapter,deaths
2000,all,I,6284
2000,all,II,95072
2000,all,III,1210
2000,all,IV,10892
2000,all,IX,125723
2000,all,V,11149
2000,all,VI-VIII,10476
2000,all,X,40983
2000,all,XI,18419
2000,all,XII,944
2000,all,XIII,3158
2000,all,XIV,7918
2000,all,XV,14
2000,all,XVI,859
2000,all,XVII,1112
2000,all,XVIII,9637
2000,all,XX,16541
2000,female,I,2569
2000,female,II,35860
2000,female,III,702
2000,female,IV,6693
2000,female,IX,68667
2000,female,V,7385
2000,female,VI-VIII,6084
2000,female,X,16852
2000,female,XI,8417
2000,female,XII,642
2000,female,XIII,2249
2000,female,XIV,4085
2000,female,XV,14
2000,female,XVI,385
2000,female,XVII,531
2000,female,XVIII,5354
2000,female,XX,4434
2000,male,I,3715
2000,male,II,59212
2000,male,III,508
2000,male,IV,4199
2000,male,IX,57056
2000,male,V,3764
2000,male,VI-VIII,4392
2000,male,X,24131
2000,male,XI,10002
2000,male,XII,302
2000,male,XIII,909
2000,male,XIV,3833
2000,male,XV,0
2000,male,XVI,474
2000,male,XVII,581
2000,male,XVIII,4283
2000,male,XX,12107
2001,all,I,6557
2001,all,II,97714
2001,all,III,1118
2001,all,IV,11223
2001,all,IX,124389
2001,all,V,11346
2001,all,VI-VIII,11677
2001,all,X,37362
2001,all,XI,18407
2001,all,XII,983
2001,all,XIII,3352
2001,all,XIV,8278
2001,all,XV,17
2001,all,XVI,894
2001,all,XVII,955
2001,all,XVIII,9860
2001,all,XX,15999
2001,female,I,2773
2001,female,II,36512
2001,female,III,676
2001,female,IV,6817
2001,female,IX,67932
2001,female,V,7532
2001,female,VI-VIII,6819
2001,female,X,14966
2001,female,XI,8302
2001,female,XII,666
2001,female,XIII,2357
2001,female,XIV,4382
2001,female,XV,17
2001,female,XVI,410
2001,female,XVII,430
2001,female,XVIII,5423
2001,female,XX,4403
2001,male,I,3784
2001,male,II,61202
2001,male,III,442
2001,male,IV,4406
2001,male,IX,56457
2001,male,V,3814
2001,male,VI-VIII,4858
2001,male,X,22396
2001,male,XI,10105
2001,male,XII,317
2001,male,XIII,995
2001,male,XIV,3896
2001,male,XV,0
2001,male,XVI,484
2001,male,XVII,525
2001,male,XVIII,4437
2001,male,XX,11596
2002,all,I,6736
2002,all,II,97784
2002,all,III,1256
2002,all,IV,11593
2002,all,IX,125797
2002,all,V,11682
2002,all,VI-VIII,12512
2002,all,X,41427
2002,all,XI,18947
2002,all,XII,1012
2002,all,XIII,3497
2002,all,XIV,8359
2002,all,XV,14
2002,all,XVI,915
2002,all,XVII,987
2002,all,XVIII,10169
2002,all,XX,15931
2002,female,I,2864
2002,female,II,36678
2002,female,III,740
2002,female,IV,7144
2002,female,IX,68739
2002,female,V,7750
2002,female,VI-VIII,7400
2002,female,X,16811
2002,female,XI,8710
2002,female,XII,700
2002,female,XIII,2445
2002,female,XIV,4289
2002,female,XV,14
2002,female,XVI,378
2002,female,XVII,481
2002,female,XVIII,5758
2002,female,XX,4448
2002,male,I,3872
2002,male,II,61106
2002,male,III,516
2002,male,IV,4449
2002,male,IX,57058
2002,male,V,3932
2002,male,VI-VIII,5112
2002,male,X,24616
2002,male,XI,10237
2002,male,XII,312
2002,male,XIII,1052
2002,male,XIV,4070
2002,male,XV,0
2002,male,XVI,537
2002,male,XVII,506
2002,male,XVIII,4411
2002,male,XX,11483
2003,all,I,7302
2003,all,II,99826
2003,all,III,1244
2003,all,IV,12147
2003,all,IX,129783
2003,all,V,13072
2003,all,VI-VIII,14813
2003,all,X,43803
2003,all,XI,19576
2003,all,XII,1020
2003,all,XIII,3558
2003,all,XIV,9040
2003,all,XV,20
2003,all,XVI,887
2003,all,XVII,1029
2003,all,XVIII,11011
2003,all,XX,16697
2003,female,I,3269
2003,female,II,37500
2003,female,III,734
2003,female,IV,7352
2003,female,IX,71057
2003,female,V,8744
2003,female,VI-VIII,9006
2003,female,X,18337
2003,female,XI,8914
2003,female,XII,703
2003,female,XIII,2495
2003,female,XIV,4787
2003,female,XV,20
2003,female,XVI,388
2003,female,XVII,485
2003,female,XVIII,6352
2003,female,XX,4788
2003,male,I,4033
2003,male,II,62326
2003,male,III,510
2003,male,IV,4795
2003,male,IX,58726
2003,male,V,4328
2003,male,VI-VIII,5807
2003,male,X,25466
2003,male,XI,10662
2003,male,XII,317
2003,male,XIII,1063
2003,male,XIV,4253
2003,male,XV,0
2003,male,XVI,499
2003,male,XVII,544
2003,male,XVIII,4659
2003,male,XX,11909
2004,all,I,7218
2004,all,II,100485
2004,all,III,1291
2004,all,IV,11918
2004,all,IX,123867
2004,all,V,11878
2004,all,VI-VIII,14123
2004,all,X,39149
2004,all,XI,19357
2004,all,XII,994
2004,all,XIII,3546
2004,all,XIV,8534
2004,all,XV,21
2004,all,XVI,1002
2004,all,XVII,1002
2004,all,XVIII,10505
2004,all,XX,17044
2004,female,I,3135
2004,female,II,37548
2004,female,III,743
2004,female,IV,7250
2004,female,IX,67508
2004,female,V,7812
2004,female,VI-VIII,8493
2004,female,X,15967
2004,female,XI,8913
2004,female,XII,664
2004,female,XIII,2474
2004,female,XIV,4480
2004,female,XV,21
2004,female,XVI,428
2004,female,XVII,444
2004,female,XVIII,5919
2004,female,XX,5207
2004,male,I,4083
2004,male,II,62937
2004,male,III,548
2004,male,IV,4668
2004,male,IX,56359
2004,male,V,4066
2004,male,VI-VIII,5630
2004,male,X,23182
2004,male,XI,10444
2004,male,XII,330
2004,male,XIII,1072
2004,male,XIV,4054
2004,male,XV,0
2004,male,XVI,574
2004,male,XVII,558
2004,male,XVIII,4586
2004,male,XX,11837
2005,all,I,7493
2005,all,II,100206
2005,all,III,1316
2005,all,IV,12421
2005,all,IX,126907
2005,all,V,12539
2005,all,VI-VIII,15697
2005,all,X,47089
2005,all,XI,19624
2005,all,XII,1107
2005,all,XIII,3596
2005,all,XIV,9567
2005,all,XV,18
2005,all,XVI,942
2005,all,XVII,962
2005,all,XVIII,10969
2005,all,XX,16902
2005,female,I,3236
2005,female,II,37542
2005,female,III,758
2005,female,IV,7564
2005,female,IX,69165
2005,female,V,8383
2005,female,VI-VIII,9531
2005,female,X,19906
2005,female,XI,9083
2005,female,XII,763
2005,female,XIII,2497
2005,female,XIV,5035
2005,female,XV,18
2005,female,XVI,390
2005,female,XVII,449
2005,female,XVIII,6162
2005,female,XX,5104
2005,male,I,4257
2005,male,II,62664
2005,male,III,558
2005,male,IV,4857
2005,male,IX,57742
2005,male,V,4156
2005,male,VI-VIII,6166
2005,male,X,27183
2005,male,XI,10541
2005,male,XII,344
2005,male,XIII,1099
2005,male,XIV,4532
2005,male,XV,0
2005,male,XVI,552
2005,male,XVII,513
2005,male,XVIII,4807
2005,male,XX,11798
2006,all,I,7201
2006,all,II,101683
2006,all,III,1227
2006,all,IV,11523
2006,all,IX,120760
2006,all,V,12107
2006,all,VI-VIII,15721
2006,all,X,39510
2006,all,XI,19351
2006,all,XII,1083
2006,all,XIII,3363
2006,all,XIV,9405
2006,all,XV,14
2006,all,XVI,911
2006,all,XVII,934
2006,all,XVIII,10546
2006,all,XX,16139
2006,female,I,3250
2006,female,II,38536
2006,female,III,724
2006,female,IV,7027
2006,female,IX,65327
2006,female,V,7934
2006,female,VI-VIII,9507
2006,female,X,16510
2006,female,XI,8906
2006,female,XII,726
2006,female,XIII,2329
2006,female,XIV,4991
2006,female,XV,14
2006,female,XVI,386
2006,female,XVII,419
2006,female,XVIII,5803
2006,female,XX,4935
2006,male,I,3951
2006,male,II,63147
2006,male,III,503
2006,male,IV,4496
2006,male,IX,55433
2006,male,V,4173
2006,male,VI-VIII,6214
2006,male,X,23000
2006,male,XI,10445
2006,male,XII,357
2006,male,XIII,1034
2006,male,XIV,4414
2006,male,XV,0
2006,male,XVI,525
2006,male,XVII,515
2006,male,XVIII,4743
2006,male,XX,11204
2007,all,I,7782
2007,all,II,103329
2007,all,III,1289
2007,all,IV,12237
2007,all,IX,124126
2007,all,V,12310
2007,all,VI-VIII,16723
2007,all,X,44029
2007,all,XI,19650
2007,all,XII,1186
2007,all,XIII,3384
2007,all,XIV,10170
2007,all,XV,13
2007,all,XVI,969
2007,all,XVII,890
2007,all,XVIII,11358
2007,all,XX,15916
2007,female,I,3592
2007,female,II,38995
2007,female,III,755
2007,female,IV,7234
2007,female,IX,67128
2007,female,V,8100
2007,female,VI-VIII,10296
2007,female,X,18464
2007,female,XI,8996
2007,female,XII,816
2007,female,XIII,2311
2007,female,XIV,5370
2007,female,XV,13
2007,female,XVI,440
2007,female,XVII,403
2007,female,XVIII,6331
2007,female,XX,4981
2007,male,I,4190
2007,male,II,64334
2007,male,III,534
2007,male,IV,5003
2007,male,IX,56998
2007,male,V,4210
2007,male,VI-VIII,6427
2007,male,X,25565
2007,male,XI,10654
2007,male,XII,370
2007,male,XIII,1073
2007,male,XIV,4800
2007,male,XV,0
2007,male,XVI,529
2007,male,XVII,487
2007,male,XVIII,5027
2007,male,XX,10935
2008,all,I,7712
2008,all,II,104054
2008,all,III,1342
2008,all,IV,12337
2008,all,IX,122793
2008,all,V,13040
2008,all,VI-VIII,17496
2008,all,X,44200
2008,all,XI,19476
2008,all,XII,1211
2008,all,XIII,3404
2008,all,XIV,10579
2008,all,XV,24
2008,all,XVI,944
2008,all,XVII,924
2008,all,XVIII,11499
2008,all,XX,15289
2008,female,I,3671
2008,female,II,39696
2008,female,III,786
2008,female,IV,7316
2008,female,IX,67052
2008,female,V,8624
2008,female,VI-VIII,10688
2008,female,X,18739
2008,female,XI,9169
2008,female,XII,852
2008,female,XIII,2315
2008,female,XIV,5587
2008,female,XV,24
2008,female,XVI,397
2008,female,XVII,457
2008,female,XVIII,6504
2008,female,XX,4800
2008,male,I,4041
2008,male,II,64358
2008,male,III,556
2008,male,IV,5021
2008,male,IX,55741
2008,male,V,4416
2008,male,VI-VIII,6808
2008,male,X,25461
2008,male,XI,10307
2008,male,XII,359
2008,male,XIII,1089
2008,male,XIV,4992
2008,male,XV,0
2008,male,XVI,547
2008,male,XVII,467
2008,male,XVIII,4995
2008,male,XX,10489
2009,all,I,6843
2009,all,II,105132
2009,all,III,1468
2009,all,IV,12462
2009,all,IX,120057
2009,all,V,14456
2009,all,VI-VIII,18780
2009,all,X,43282
2009,all,XI,19557
2009,all,XII,1197
2009,all,XIII,3461
2009,all,XIV,10850
2009,all,XV,17
2009,all,XVI,900
2009,all,XVII,889
2009,all,XVIII,11086
2009,all,XX,14496
2009,female,I,3218
2009,female,II,40196
2009,female,III,878
2009,female,IV,7416
2009,female,IX,65242
2009,female,V,9541
2009,female,VI-VIII,11475
2009,female,X,18353
2009,female,XI,9149
2009,female,XII,806
2009,female,XIII,2366
2009,female,XIV,5835
2009,female,XV,17
2009,female,XVI,383
2009,female,XVII,429
2009,female,XVIII,5811
2009,female,XX,4723
2009,male,I,3625
2009,male,II,64936
2009,male,III,590
2009,male,IV,5046
2009,male,IX,54815
2009,male,V,4915
2009,male,VI-VIII,7305
2009,male,X,24929
2009,male,XI,10408
2009,male,XII,391
2009,male,XIII,1095
2009,male,XIV,5015
2009,male,XV,0
2009,male,XVI,517
2009,male,XVII,460
2009,male,XVIII,5275
2009,male,XX,9773
2010,all,I,6489
2010,all,II,107220
2010,all,III,1519
2010,all,IV,12598
2010,all,IX,119128
2010,all,V,14821
2010,all,VI-VIII,19285
2010,all,X,40266
2010,all,XI,19097
2010,all,XII,1144
2010,all,XIII,3327
2010,all,XIV,10493
2010,all,XV,20
2010,all,XVI,831
2010,all,XVII,971
2010,all,XVIII,10772
2010,all,XX,14066
2010,female,I,3019
2010,female,II,41109
2010,female,III,875
2010,female,IV,7442
2010,female,IX,64722
2010,female,V,9763
2010,female,VI-VIII,11717
2010,female,X,16815
2010,female,XI,8907
2010,female,XII,776
2010,female,XIII,2293
2010,female,XIV,5610
2010,female,XV,20
2010,female,XVI,385
2010,female,XVII,471
2010,female,XVIII,5248
2010,female,XX,4754
2010,male,I,3470
2010,male,II,66111
2010,male,III,644
2010,male,IV,5156
2010,male,IX,54406
2010,male,V,5058
2010,male,VI-VIII,7568
2010,male,X,23451
2010,male,XI,10190
2010,male,XII,368
2010,male,XIII,1034
2010,male,XIV,4883
2010,male,XV,0
2010,male,XVI,446
2010,male,XVII,500
2010,male,XVIII,5524
2010,male,XX,9312
2011,all,I,6398
2011,all,II,109341
2011,all,III,1528
2011,all,IV,12789
2011,all,IX,118327
2011,all,V,15276
2011,all,VI-VIII,20254
2011,all,X,42243
2011,all,XI,19576
2011,all,XII,1169
2011,all,XIII,3387
2011,all,XIV,11011
2011,all,XV,14
2011,all,XVI,833
2011,all,XVII,920
2011,all,XVIII,10612
2011,all,XX,14233
2011,female,I,3112
2011,female,II,42350
2011,female,III,894
2011,female,IV,7542
2011,female,IX,64492
2011,female,V,10056
2011,female,VI-VIII,12418
2011,female,X,17725
2011,female,XI,9217
2011,female,XII,777
2011,female,XIII,2341
2011,female,XIV,5973
2011,female,XV,14
2011,female,XVI,372
2011,female,XVII,439
2011,female,XVIII,5265
2011,female,XX,5070
2011,male,I,3286
2011,male,II,66991
2011,male,III,634
2011,male,IV,5247
2011,male,IX,53835
2011,male,V,5220
2011,male,VI-VIII,7836
2011,male,X,24518
2011,male,XI,10359
2011,male,XII,392
2011,male,XIII,1046
2011,male,XIV,5038
2011,male,XV,0
2011,male,XVI,461
2011,male,XVII,481
2011,male,XVIII,5347
2011,male,XX,9163
2012,all,I,6520
2012,all,II,110993
2012,all,III,1555
2012,all,IV,12824
2012,all,IX,122097
2012,all,V,17145
2012,all,VI-VIII,22089
2012,all,X,47336
2012,all,XI,19797
2012,all,XII,1306
2012,all,XIII,3766
2012,all,XIV,11839
2012,all,XV,10
2012,all,XVI,829
2012,all,XVII,823
2012,all,XVIII,10017
2012,all,XX,14004
2012,female,I,3215
2012,female,II,42685
2012,female,III,903
2012,female,IV,7568
2012,female,IX,66905
2012,female,V,11323
2012,female,VI-VIII,13665
2012,female,X,20707
2012,female,XI,9267
2012,female,XII,912
2012,female,XIII,2555
2012,female,XIV,6544
2012,female,XV,10
2012,female,XVI,372
2012,female,XVII,408
2012,female,XVIII,5101
2012,female,XX,4890
2012,male,I,3305
2012,male,II,68308
2012,male,III,652
2012,male,IV,5256
2012,male,IX,55192
2012,male,V,5822
2012,male,VI-VIII,8424
2012,male,X,26629
2012,male,XI,10530
2012,male,XII,394
2012,male,XIII,1211
