year,sex,age_group,cause,deaths
2000,all,1-4,Accidentes de tráfico,38
2000,all,1-4,Agresiones (homicidio),2
2000,all,1-4,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,all,1-4,Eventos de intención no determinada,0
2000,all,1-4,Suicidio y lesiones autoinfligidas,0
2000,all,1-4,Todas las causas,383
2000,all,1-4,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,10-14,Accidentes de tráfico,110
2000,all,10-14,Agresiones (homicidio),1
2000,all,10-14,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,all,10-14,Eventos de intención no determinada,0
2000,all,10-14,Suicidio y lesiones autoinfligidas,9
2000,all,10-14,Todas las causas,365
2000,all,10-14,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,15-19,Accidentes de tráfico,525
2000,all,15-19,Agresiones (homicidio),8
2000,all,15-19,Envenenamiento accidental por psicofármacos y drogas de abuso,21
2000,all,15-19,Eventos de intención no determinada,2
2000,all,15-19,Suicidio y lesiones autoinfligidas,89
2000,all,15-19,Todas las causas,1198
2000,all,15-19,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,20-24,Accidentes de tráfico,829
2000,all,20-24,Agresiones (homicidio),30
2000,all,20-24,Envenenamiento accidental por psicofármacos y drogas de abuso,72
2000,all,20-24,Eventos de intención no determinada,7
2000,all,20-24,Suicidio y lesiones autoinfligidas,183
2000,all,20-24,Todas las causas,1996
2000,all,20-24,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,all,25-29,Accidentes de tráfico,683
2000,all,25-29,Agresiones (homicidio),52
2000,all,25-29,Envenenamiento accidental por psicofármacos y drogas de abuso,136
2000,all,25-29,Eventos de intención no determinada,10
2000,all,25-29,Suicidio y lesiones autoinfligidas,273
2000,all,25-29,Todas las causas,2339
2000,all,25-29,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",8
2000,all,30-34,Accidentes de tráfico,517
2000,all,30-34,Agresiones (homicidio),75
2000,all,30-34,Envenenamiento accidental por psicofármacos y drogas de abuso,189
2000,all,30-34,Eventos de intención no determinada,6
2000,all,30-34,Suicidio y lesiones autoinfligidas,234
2000,all,30-34,Todas las causas,2975
2000,all,30-34,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6
2000,all,35-39,Accidentes de tráfico,445
2000,all,35-39,Agresiones (homicidio),46
2000,all,35-39,Envenenamiento accidental por psicofármacos y drogas de abuso,162
2000,all,35-39,Eventos de intención no determinada,14
2000,all,35-39,Suicidio y lesiones autoinfligidas,268
2000,all,35-39,Todas las causas,4052
2000,all,35-39,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",7
2000,all,40-44,Accidentes de tráfico,413
2000,all,40-44,Agresiones (homicidio),50
2000,all,40-44,Envenenamiento accidental por psicofármacos y drogas de abuso,58
2000,all,40-44,Eventos de intención no determinada,12
2000,all,40-44,Suicidio y lesiones autoinfligidas,246
2000,all,40-44,Todas las causas,5267
2000,all,40-44,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6
2000,all,45-49,Accidentes de tráfico,337
2000,all,45-49,Agresiones (homicidio),34
2000,all,45-49,Envenenamiento accidental por psicofármacos y drogas de abuso,23
2000,all,45-49,Eventos de intención no determinada,6
2000,all,45-49,Suicidio y lesiones autoinfligidas,225
2000,all,45-49,Todas las causas,6523
2000,all,45-49,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,all,5-9,Accidentes de tráfico,50
2000,all,5-9,Agresiones (homicidio),1
2000,all,5-9,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,all,5-9,Eventos de intención no determinada,0
2000,all,5-9,Suicidio y lesiones autoinfligidas,0
2000,all,5-9,Todas las causas,300
2000,all,5-9,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,50-54,Accidentes de tráfico,320
2000,all,50-54,Agresiones (homicidio),26
2000,all,50-54,Envenenamiento accidental por psicofármacos y drogas de abuso,12
2000,all,50-54,Eventos de intención no determinada,3
2000,all,50-54,Suicidio y lesiones autoinfligidas,219
2000,all,50-54,Todas las causas,9331
2000,all,50-54,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,all,55-59,Accidentes de tráfico,314
2000,all,55-59,Agresiones (homicidio),22
2000,all,55-59,Envenenamiento accidental por psicofármacos y drogas de abuso,4
2000,all,55-59,Eventos de intención no determinada,5
2000,all,55-59,Suicidio y lesiones autoinfligidas,202
2000,all,55-59,Todas las causas,12024
2000,all,55-59,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,60-64,Accidentes de tráfico,279
2000,all,60-64,Agresiones (homicidio),18
2000,all,60-64,Envenenamiento accidental por psicofármacos y drogas de abuso,4
2000,all,60-64,Eventos de intención no determinada,8
2000,all,60-64,Suicidio y lesiones autoinfligidas,222
2000,all,60-64,Todas las causas,17127
2000,all,60-64,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1
2000,all,65-69,Accidentes de tráfico,330
2000,all,65-69,Agresiones (homicidio),13
2000,all,65-69,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,all,65-69,Eventos de intención no determinada,4
2000,all,65-69,Suicidio y lesiones autoinfligidas,279
2000,all,65-69,Todas las causas,29420
2000,all,65-69,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,70-74,Accidentes de tráfico,331
2000,all,70-74,Agresiones (homicidio),7
2000,all,70-74,Envenenamiento accidental por psicofármacos y drogas de abuso,3
2000,all,70-74,Eventos de intención no determinada,7
2000,all,70-74,Suicidio y lesiones autoinfligidas,292
2000,all,70-74,Todas las causas,41327
2000,all,70-74,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,75-79,Accidentes de tráfico,284
2000,all,75-79,Agresiones (homicidio),12
2000,all,75-79,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,all,75-79,Eventos de intención no determinada,4
2000,all,75-79,Suicidio y lesiones autoinfligidas,266
2000,all,75-79,Todas las causas,55264
2000,all,75-79,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,80-84,Accidentes de tráfico,150
2000,all,80-84,Agresiones (homicidio),2
2000,all,80-84,Envenenamiento accidental por psicofármacos y drogas de abuso,3
2000,all,80-84,Eventos de intención no determinada,4
2000,all,80-84,Suicidio y lesiones autoinfligidas,203
2000,all,80-84,Todas las causas,58873
2000,all,80-84,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,85-89,Accidentes de tráfico,94
2000,all,85-89,Agresiones (homicidio),6
2000,all,85-89,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,all,85-89,Eventos de intención no determinada,2
2000,all,85-89,Suicidio y lesiones autoinfligidas,135
2000,all,85-89,Todas las causas,59660
2000,all,85-89,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,90-94,Accidentes de tráfico,30
2000,all,90-94,Agresiones (homicidio),2
2000,all,90-94,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,all,90-94,Eventos de intención no determinada,4
2000,all,90-94,Suicidio y lesiones autoinfligidas,42
2000,all,90-94,Todas las causas,37319
2000,all,90-94,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,95+,Accidentes de tráfico,9
2000,all,95+,Agresiones (homicidio),0
2000,all,95+,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,all,95+,Eventos de intención no determinada,0
2000,all,95+,Suicidio y lesiones autoinfligidas,6
2000,all,95+,Todas las causas,12908
2000,all,95+,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,<1,Accidentes de tráfico,10
2000,all,<1,Agresiones (homicidio),4
2000,all,<1,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,all,<1,Eventos de intención no determinada,0
2000,all,<1,Suicidio y lesiones autoinfligidas,0
2000,all,<1,Todas las causas,1740
2000,all,<1,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,all,Accidentes de tráfico,6098
2000,all,all,Agresiones (homicidio),411
2000,all,all,Envenenamiento accidental por psicofármacos y drogas de abuso,698
2000,all,all,Eventos de intención no determinada,98
2000,all,all,Suicidio y lesiones autoinfligidas,3393
2000,all,all,Todas las causas,360391
2000,all,all,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",34
2000,female,1-4,Accidentes de tráfico,19
2000,female,1-4,Agresiones (homicidio),2
2000,female,1-4,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,female,1-4,Eventos de intención no determinada,0
2000,female,1-4,Suicidio y lesiones autoinfligidas,0
2000,female,1-4,Todas las causas,163
2000,female,1-4,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,10-14,Accidentes de tráfico,37
2000,female,10-14,Agresiones (homicidio),1
2000,female,10-14,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,10-14,Eventos de intención no determinada,0
2000,female,10-14,Suicidio y lesiones autoinfligidas,3
2000,female,10-14,Todas las causas,145
2000,female,10-14,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
