year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,all,1-4,,Accidentes de tráfico,38,1473376,2.5791
2000,all,1-4,,"Accidentes por fuego, humo y sustancias calientes",11,1473376,0.7466
2000,all,1-4,,Agresiones (homicidio),2,1473376,0.1357
2000,all,1-4,,"Ahogamiento, sumersión y sofocación accidentales",32,1473376,2.1719
2000,all,1-4,,Artritis reumatoide y osteoartrosis,0,1473376,0.0
2000,all,1-4,,Asma,1,1473376,0.0679
2000,all,1-4,,Aterosclerosis,0,1473376,0.0
2000,all,1-4,,COVID-19. Virus identificado,0,1473376,0.0
2000,all,1-4,,COVID-19. Virus no identificado (sospechoso),0,1473376,0.0
2000,all,1-4,,Caídas accidentales,7,1473376,0.4751
2000,all,1-4,,Ciertos trastornos que afectan al mecanismo de la inmunidad,2,1473376,0.1357
2000,all,1-4,,Cirrosis y otras enfermedades crónicas del hígado,0,1473376,0.0
2000,all,1-4,,Complicaciones de la atención médica y quirúrgica,0,1473376,0.0
2000,all,1-4,,Diabetes mellitus,0,1473376,0.0
2000,all,1-4,,Enfermedad de Alzheimer,0,1473376,0.0
2000,all,1-4,,Enfermedad meningocócica,23,1473376,1.561
2000,all,1-4,,Enfermedad vascular intestinal,0,1473376,0.0
2000,all,1-4,,Enfermedades cardíacas reumáticas crónicas,1,1473376,0.0679
2000,all,1-4,,Enfermedades cerebrovasculares,1,1473376,0.0679
2000,all,1-4,,Enfermedades crónicas de las vías respiratorias inferiores (excepto asma),0,1473376,0.0
2000,all,1-4,,Enfermedades de la sangre y de los órganos hematopoyéticos,4,1473376,0.2715
2000,all,1-4,,Enfermedades de los órganos genitales femeninos y trastornos de la mama,0,1473376,0.0
2000,all,1-4,,Enfermedades de los órganos genitales masculinos,0,1473376,0.0
2000,all,1-4,,Enfermedades del riñón y del uréter,0,1473376,0.0
2000,all,1-4,,Enfermedades hipertensivas,0,1473376,0.0
2000,all,1-4,,Enfermedades infecciosas intestinales,1,1473376,0.0679
2000,all,1-4,,Enteritis y colitis no infecciosas,0,1473376,0.0
2000,all,1-4,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,1473376,0.0679
2000,all,1-4,,Eventos de intención no determinada,0,1473376,0.0
2000,all,1-4,,Hepatitis vírica,1,1473376,0.0679
2000,all,1-4,,Infarto agudo de miocardio,2,1473376,0.1357
2000,all,1-4,,Influenza (gripe) (incluye gripe aviar y gripe A),0,1473376,0.0
2000,all,1-4,,Insuficiencia cardíaca,2,1473376,0.1357
2000,all,1-4,,Insuficiencia respiratoria,3,1473376,0.2036
2000,all,1-4,,Leucemia,18,1473376,1.2217
2000,all,1-4,,Malformaciones congénitas del sistema circulatorio,29,1473376,1.9683
2000,all,1-4,,Malformaciones congénitas del sistema nervioso,10,1473376,0.6787
2000,all,1-4,,Melanoma maligno de la piel,0,1473376,0.0
2000,all,1-4,,Meningitis (otras en 003),6,1473376,0.4072
2000,all,1-4,,Muerte súbita infantil,2,1473376,0.1357
2000,all,1-4,,Neumonía,4,1473376,0.2715
2000,all,1-4,,Osteoporosis y fractura patológica,0,1473376,0.0
2000,all,1-4,,Otras causas externas y sus efectos tardíos,0,1473376,0.0
2000,all,1-4,,Otras enfermedades de los vasos sanguíneos,0,1473376,0.0
2000,all,1-4,,Otras enfermedades del corazón,8,1473376,0.543
2000,all,1-4,,Otras enfermedades del sistema digestivo,4,1473376,0.2715
2000,all,1-4,,Otras enfermedades del sistema genitourinario,0,1473376,0.0
2000,all,1-4,,Otras enfermedades del sistema nervioso y de los órganos de los sentidos,23,1473376,1.561
2000,all,1-4,,Otras enfermedades del sistema osteomuscular y del tejido conjuntivo,0,1473376,0.0
2000,all,1-4,,Otras enfermedades del sistema respiratorio,8,1473376,0.543
