year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,all,1-4,I-XXII,Todas las causas,383,1473376,25.9947
2000,all,10-14,I-XXII,Todas las causas,365,2152901,16.9539
2000,all,15-19,I-XXII,Todas las causas,1198,2627575,45.5934
2000,all,20-24,I-XXII,Todas las causas,1996,3325206,60.0264
2000,all,25-29,I-XXII,Todas las causas,2339,3447044,67.8552
2000,all,30-34,I-XXII,Todas las causas,2975,3345294,88.9309
2000,all,35-39,I-XXII,Todas las causas,4052,3208115,126.3047
2000,all,40-44,I-XXII,Todas las causas,5267,2913290,180.7922
2000,all,45-49,I-XXII,Todas las causas,6523,2521261,258.7197
2000,all,5-9,I-XXII,Todas las causas,300,1953978,15.3533
2000,all,50-54,I-XXII,Todas las causas,9331,2417614,385.959
2000,all,55-59,I-XXII,Todas las causas,12024,2131111,564.2128
2000,all,60-64,I-XXII,Todas las causas,17127,1903022,899.9896
2000,all,65-69,I-XXII,Todas las causas,29420,2084685,1411.2444
2000,all,70-74,I-XXII,Todas las causas,41327,1794689,2302.7388
2000,all,75-79,I-XXII,Todas las causas,55264,1381450,4000.4343
2000,all,80-84,I-XXII,Todas las causas,58873,816297,7212.2034
2000,all,85-89,I-XXII,Todas las causas,59660,466032,12801.696
2000,all,90-94,I-XXII,Todas las causas,37319,170618,21872.8387
2000,all,95+,I-XXII,Todas las causas,12908,36061,35794.9031
2000,all,<1,I-XXII,Todas las causas,1740,384769,452.2194
2000,all,all,I-XXII,Todas las causas,360391,40554388,888.6609
2000,female,1-4,I-XXII,Todas las causas,163,716157,22.7604
2000,female,10-14,I-XXII,Todas las causas,145,1047377,13.8441
2000,female,15-19,I-XXII,Todas las causas,336,1280803,26.2335
2000,female,20-24,I-XXII,Todas las causas,463,1623925,28.5112
2000,female,25-29,I-XXII,Todas las causas,533,1687139,31.5919
2000,female,30-34,I-XXII,Todas las causas,784,1650004,47.515
2000,female,35-39,I-XXII,Todas las causas,1117,1597503,69.9216
2000,female,40-44,I-XXII,Todas las causas,1589,1459473,108.8749
2000,female,45-49,I-XXII,Todas las causas,1920,1265310,151.7415
2000,female,5-9,I-XXII,Todas las causas,119,949727,12.5299
2000,female,50-54,I-XXII,Todas las causas,2640,1224471,215.6033
2000,female,55-59,I-XXII,Todas las causas,3402,1088096,312.6562
2000,female,60-64,I-XXII,Todas las causas,5002,996223,502.0964
2000,female,65-69,I-XXII,Todas las causas,9412,1112269,846.1982
2000,female,70-74,I-XXII,Todas las causas,15027,996561,1507.8856
2000,female,75-79,I-XXII,Todas las causas,23757,810091,2932.6335
2000,female,80-84,I-XXII,Todas las causas,31801,525308,6053.7818
2000,female,85-89,I-XXII,Todas las causas,36969,318621,11602.8134
2000,female,90-94,I-XXII,Todas las causas,25485,122640,20780.3327
2000,female,95+,I-XXII,Todas las causas,9478,27402,34588.7162
2000,female,<1,I-XXII,Todas las causas,781,186652,418.4257
2000,female,all,I-XXII,Todas las causas,170923,20685752,826.2837
2000,male,1-4,I-XXII,Todas las causas,220,757221,29.0536
2000,male,10-14,I-XXII,Todas las causas,220,1105524,19.9001
2000,male,15-19,I-XXII,Todas las causas,862,1346770,64.005
2000,male,20-24,I-XXII,Todas las causas,1533,1701281,90.1086
2000,male,25-29,I-XXII,Todas las causas,1806,1759905,102.6192
2000,male,30-34,I-XXII,Todas las causas,2191,1695291,129.2403
2000,male,35-39,I-XXII,Todas las causas,2935,1610610,182.2291
2000,male,40-44,I-XXII,Todas las causas,3678,1453816,252.9894
2000,male,45-49,I-XXII,Todas las causas,4603,1255952,366.4949
2000,male,5-9,I-XXII,Todas las causas,181,1004252,18.0234
2000,male,50-54,I-XXII,Todas las causas,6691,1193144,560.7873
2000,male,55-59,I-XXII,Todas las causas,8622,1043014,826.6428
2000,male,60-64,I-XXII,Todas las causas,12125,906799,1337.121
2000,male,65-69,I-XXII,Todas las causas,20008,972416,2057.5556
2000,male,70-74,I-XXII,Todas las causas,26300,798128,3295.2108
2000,male,75-79,I-XXII,Todas las causas,31507,571359,5514.3964
2000,male,80-84,I-XXII,Todas las causas,27072,290989,9303.4445
2000,male,85-89,I-XXII,Todas las causas,22691,147412,15392.9124
2000,male,90-94,I-XXII,Todas las causas,11834,47978,24665.4717
2000,male,95+,I-XXII,Todas las causas,3430,8659,39611.9644
2000,male,<1,I-XXII,Todas las causas,959,198117,484.0574
2000,male,all,I-XXII,Todas las causas,189468,19868637,953.6034
2001,all,1-4,I-XXII,Todas las causas,370,1501021,24.6499
2001,all,10-14,I-XXII,Todas las causas,346,2114108,16.3662
2001,all,15-19,I-XXII,Todas las causas,1043,2508192,41.5837
2001,all,20-24,I-XXII,Todas las causas,1794,3224570,55.6353
2001,all,25-29,I-XXII,Todas las causas,2179,3486319,62.5015
2001,all,30-34,I-XXII,Todas las causas,2993,3369854,88.8169
2001,all,35-39,I-XXII,Todas las causas,4084,3267965,124.9707
2001,all,40-44,I-XXII,Todas las causas,5069,3003328,168.7794
2001,all,45-49,I-XXII,Todas las causas,6663,2588868,257.3712
2001,all,5-9,I-XXII,Todas las causas,259,1919208,13.4952
2001,all,50-54,I-XXII,Todas las causas,9342,2425263,385.1953
2001,all,55-59,I-XXII,Todas las causas,12468,2185661,570.4453
2001,all,60-64,I-XXII,Todas las causas,16389,1874124,874.4886
2001,all,65-69,I-XXII,Todas las causas,28259,2086193,1354.5727
2001,all,70-74,I-XXII,Todas las causas,41353,1832582,2256.543
2001,all,75-79,I-XXII,Todas las causas,55099,1424594,3867.6984
2001,all,80-84,I-XXII,Todas las causas,59497,859342,6923.5531
2001,all,85-89,I-XXII,Todas las causas,59209,474341,12482.3703
2001,all,90-94,I-XXII,Todas las causas,38089,180302,21125.1123
2001,all,95+,I-XXII,Todas las causas,13969,41203,33902.8712
2001,all,<1,I-XXII,Todas las causas,1657,399010,415.2778
2001,all,all,I-XXII,Todas las causas,360131,40766048,883.4092
2001,female,1-4,I-XXII,Todas las causas,151,730068,20.683
2001,female,10-14,I-XXII,Todas las causas,142,1028037,13.8127
2001,female,15-19,I-XXII,Todas las causas,283,1222186,23.1552
2001,female,20-24,I-XXII,Todas las causas,404,1574690,25.6558
2001,female,25-29,I-XXII,Todas las causas,570,1705798,33.4154
2001,female,30-34,I-XXII,Todas las causas,805,1659080,48.5209
2001,female,35-39,I-XXII,Todas las causas,1149,1625313,70.6941
2001,female,40-44,I-XXII,Todas las causas,1535,1504343,102.0379
2001,female,45-49,I-XXII,Todas las causas,2036,1299880,156.6298
2001,female,5-9,I-XXII,Todas las causas,103,933597,11.0326
2001,female,50-54,I-XXII,Todas las causas,2674,1226842,217.958
2001,female,55-59,I-XXII,Todas las causas,3452,1116873,309.0772
2001,female,60-64,I-XXII,Todas las causas,4731,977440,484.0195
2001,female,65-69,I-XXII,Todas las causas,9074,1113220,815.1129
