year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,all,1-4,,Accidentes de tráfico,38,1473376,2.5791
2000,all,1-4,,Agresiones (homicidio),2,1473376,0.1357
2000,all,1-4,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,1473376,0.0679
2000,all,1-4,,Eventos de intención no determinada,0,1473376,0.0
2000,all,1-4,,Suicidio y lesiones autoinfligidas,0,1473376,0.0
2000,all,1-4,I-XXII,Todas las causas,383,1473376,25.9947
2000,all,1-4,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1473376,0.0
2000,all,10-14,,Accidentes de tráfico,110,2152901,5.1094
2000,all,10-14,,Agresiones (homicidio),1,2152901,0.0464
2000,all,10-14,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,2152901,0.0929
2000,all,10-14,,Eventos de intención no determinada,0,2152901,0.0
2000,all,10-14,,Suicidio y lesiones autoinfligidas,9,2152901,0.418
2000,all,10-14,I-XXII,Todas las causas,365,2152901,16.9539
2000,all,10-14,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,2152901,0.0
2000,all,15-19,,Accidentes de tráfico,525,2627575,19.9804
2000,all,15-19,,Agresiones (homicidio),8,2627575,0.3045
2000,all,15-19,,Envenenamiento accidental por psicofármacos y drogas de abuso,21,2627575,0.7992
2000,all,15-19,,Eventos de intención no determinada,2,2627575,0.0761
2000,all,15-19,,Suicidio y lesiones autoinfligidas,89,2627575,3.3872
2000,all,15-19,I-XXII,Todas las causas,1198,2627575,45.5934
2000,all,15-19,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,2627575,0.0
2000,all,20-24,,Accidentes de tráfico,829,3325206,24.9308
2000,all,20-24,,Agresiones (homicidio),30,3325206,0.9022
2000,all,20-24,,Envenenamiento accidental por psicofármacos y drogas de abuso,72,3325206,2.1653
2000,all,20-24,,Eventos de intención no determinada,7,3325206,0.2105
2000,all,20-24,,Suicidio y lesiones autoinfligidas,183,3325206,5.5034
2000,all,20-24,I-XXII,Todas las causas,1996,3325206,60.0264
2000,all,20-24,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2,3325206,0.0601
2000,all,25-29,,Accidentes de tráfico,683,3447044,19.8141
2000,all,25-29,,Agresiones (homicidio),52,3447044,1.5085
2000,all,25-29,,Envenenamiento accidental por psicofármacos y drogas de abuso,136,3447044,3.9454
2000,all,25-29,,Eventos de intención no determinada,10,3447044,0.2901
2000,all,25-29,,Suicidio y lesiones autoinfligidas,273,3447044,7.9198
2000,all,25-29,I-XXII,Todas las causas,2339,3447044,67.8552
2000,all,25-29,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",8,3447044,0.2321
2000,all,30-34,,Accidentes de tráfico,517,3345294,15.4545
2000,all,30-34,,Agresiones (homicidio),75,3345294,2.242
2000,all,30-34,,Envenenamiento accidental por psicofármacos y drogas de abuso,189,3345294,5.6497
2000,all,30-34,,Eventos de intención no determinada,6,3345294,0.1794
2000,all,30-34,,Suicidio y lesiones autoinfligidas,234,3345294,6.9949
2000,all,30-34,I-XXII,Todas las causas,2975,3345294,88.9309
2000,all,30-34,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6,3345294,0.1794
2000,all,35-39,,Accidentes de tráfico,445,3208115,13.8711
2000,all,35-39,,Agresiones (homicidio),46,3208115,1.4339
2000,all,35-39,,Envenenamiento accidental por psicofármacos y drogas de abuso,162,3208115,5.0497
2000,all,35-39,,Eventos de intención no determinada,14,3208115,0.4364
2000,all,35-39,,Suicidio y lesiones autoinfligidas,268,3208115,8.3538
2000,all,35-39,I-XXII,Todas las causas,4052,3208115,126.3047
2000,all,35-39,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",7,3208115,0.2182
2000,all,40-44,,Accidentes de tráfico,413,2913290,14.1764
2000,all,40-44,,Agresiones (homicidio),50,2913290,1.7163
2000,all,40-44,,Envenenamiento accidental por psicofármacos y drogas de abuso,58,2913290,1.9909
2000,all,40-44,,Eventos de intención no determinada,12,2913290,0.4119
2000,all,40-44,,Suicidio y lesiones autoinfligidas,246,2913290,8.4441
2000,all,40-44,I-XXII,Todas las causas,5267,2913290,180.7922
2000,all,40-44,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6,2913290,0.206
2000,all,45-49,,Accidentes de tráfico,337,2521261,13.3663
2000,all,45-49,,Agresiones (homicidio),34,2521261,1.3485
2000,all,45-49,,Envenenamiento accidental por psicofármacos y drogas de abuso,23,2521261,0.9122
2000,all,45-49,,Eventos de intención no determinada,6,2521261,0.238
