year,sex,age_group,cause_chapter,cause,deaths,data_type,series_cod
2000,all,1-4,,Accidentes de tráfico,38,Definitivo,ECM40352
2000,all,1-4,,"Accidentes por fuego, humo y sustancias calientes",11,Definitivo,ECM40348
2000,all,1-4,,Agresiones (homicidio),2,Definitivo,ECM40343
2000,all,1-4,,"Ahogamiento, sumersión y sofocación accidentales",32,Definitivo,ECM40349
2000,all,1-4,,Artritis reumatoide y osteoartrosis,0,Definitivo,ECM38860
2000,all,1-4,,Asma,1,Definitivo,ECM452908
2000,all,1-4,,Aterosclerosis,0,Definitivo,ECM37875
2000,all,1-4,,COVID-19. Virus identificado,0,Definitivo,ECM462142
2000,all,1-4,,COVID-19. Virus no identificado (sospechoso),0,Definitivo,ECM462076
2000,all,1-4,,Caídas accidentales,7,Definitivo,ECM40350
2000,all,1-4,,Ciertos trastornos que afectan al mecanismo de la inmunidad,2,Definitivo,ECM36761
2000,all,1-4,,Cirrosis y otras enfermedades crónicas del hígado,0,Definitivo,ECM38202
2000,all,1-4,,Complicaciones de la atención médica y quirúrgica,0,Definitivo,ECM40341
2000,all,1-4,,Diabetes mellitus,0,Definitivo,ECM36888
2000,all,1-4,,Enfermedad de Alzheimer,0,Definitivo,ECM37326
2000,all,1-4,,Enfermedad meningocócica,23,Definitivo,ECM34433
2000,all,1-4,,Enfermedad vascular intestinal,0,Definitivo,ECM38203
2000,all,1-4,,Enfermedades cardíacas reumáticas crónicas,1,Definitivo,ECM37882
2000,all,1-4,,Enfermedades cerebrovasculares,1,Definitivo,ECM37876
2000,all,1-4,,Enfermedades crónicas de las vías respiratorias inferiores (excepto asma),0,Definitivo,ECM452909
2000,all,1-4,,Enfermedades de la sangre y de los órganos hematopoyéticos,4,Definitivo,ECM36762
2000,all,1-4,,Enfermedades de los órganos genitales femeninos y trastornos de la mama,0,Definitivo,ECM39108
2000,all,1-4,,Enfermedades de los órganos genitales masculinos,0,Definitivo,ECM39109
2000,all,1-4,,Enfermedades del riñón y del uréter,0,Definitivo,ECM39110
2000,all,1-4,,Enfermedades hipertensivas,0,Definitivo,ECM37881
2000,all,1-4,,Enfermedades infecciosas intestinales,1,Definitivo,ECM34559
2000,all,1-4,,Enteritis y colitis no infecciosas,0,Definitivo,ECM38204
2000,all,1-4,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,Definitivo,ECM40347
2000,all,1-4,,Eventos de intención no determinada,0,Definitivo,ECM40342
2000,all,1-4,,Hepatitis vírica,1,Definitivo,ECM34307
2000,all,1-4,,Infarto agudo de miocardio,2,Definitivo,ECM37880
2000,all,1-4,,Influenza (gripe) (incluye gripe aviar y gripe A),0,Definitivo,ECM452911
2000,all,1-4,,Insuficiencia cardíaca,2,Definitivo,ECM37878
2000,all,1-4,,Insuficiencia respiratoria,3,Definitivo,ECM452907
2000,all,1-4,,Leucemia,18,Definitivo,ECM36546
2000,all,1-4,,Malformaciones congénitas del sistema circulatorio,29,Definitivo,ECM39300
2000,all,1-4,,Malformaciones congénitas del sistema nervioso,10,Definitivo,ECM39301
2000,all,1-4,,Melanoma maligno de la piel,0,Definitivo,ECM36562
2000,all,1-4,,Meningitis (otras en 003),6,Definitivo,ECM37327
2000,all,1-4,,Muerte súbita infantil,2,Definitivo,ECM39549
2000,all,1-4,,Neumonía,4,Definitivo,ECM452910
2000,all,1-4,,Osteoporosis y fractura patológica,0,Definitivo,ECM38859
2000,all,1-4,,Otras causas externas y sus efectos tardíos,0,Definitivo,ECM40340
2000,all,1-4,,Otras enfermedades de los vasos sanguíneos,0,Definitivo,ECM37874
2000,all,1-4,,Otras enfermedades del corazón,8,Definitivo,ECM37877
2000,all,1-4,,Otras enfermedades del sistema digestivo,4,Definitivo,ECM38201
2000,all,1-4,,Otras enfermedades del sistema genitourinario,0,Definitivo,ECM39107
2000,all,1-4,,Otras enfermedades del sistema nervioso y de los órganos de los sentidos,23,Definitivo,ECM37325
2000,all,1-4,,Otras enfermedades del sistema osteomuscular y del tejido conjuntivo,0,Definitivo,ECM38858
2000,all,1-4,,Otras enfermedades del sistema respiratorio,8,Definitivo,ECM452906
2000,all,1-4,,"Otras enfermedades endocrinas, nutricionales y metabólicas",16,Definitivo,ECM36887
2000,all,1-4,,Otras enfermedades isquémicas del corazón,0,Definitivo,ECM37879
2000,all,1-4,,"Otras malformaciones congénitas, deformidades y anomalías cromosómicas",22,Definitivo,ECM39299
2000,all,1-4,,Otros accidentes,10,Definitivo,ECM40345
2000,all,1-4,,Otros accidentes de transporte,1,Definitivo,ECM40351
2000,all,1-4,,Otros envenenamientos accidentales,3,Definitivo,ECM40346
2000,all,1-4,,Otros trastornos mentales y del comportamiento,0,Definitivo,ECM37133
2000,all,1-4,,Otros tumores de comportamiento incierto o desconocido,7,Definitivo,ECM36542
2000,all,1-4,,Otros tumores malignos de la piel y de los tejidos blandos,3,Definitivo,ECM36561
2000,all,1-4,,Otros tumores malignos de las vías urinarias,0,Definitivo,ECM36551
2000,all,1-4,,Otros tumores malignos digestivos,0,Definitivo,ECM36567
2000,all,1-4,,Otros tumores malignos neurológicos y endocrinos,7,Definitivo,ECM36549
2000,all,1-4,,Otros tumores malignos respiratorios e intratorácicos,0,Definitivo,ECM36564
2000,all,1-4,,"Paro cardíaco, muerte sin asistencia y otra causa desconocida de mortalidad",15,Definitivo,ECM39551
2000,all,1-4,,Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos,3,Definitivo,ECM34118
2000,all,1-4,,"Resto de síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",11,Definitivo,ECM39548
2000,all,1-4,,SIDA,1,Definitivo,ECM34244
2000,all,1-4,,Senilidad,0,Definitivo,ECM39550
2000,all,1-4,,Septicemia,14,Definitivo,ECM34370
2000,all,1-4,,Suicidio y lesiones autoinfligidas,0,Definitivo,ECM40344
2000,all,1-4,,Síndrome inflamatorio multisistémico asociado COVID-19,0,Definitivo,ECM469736
2000,all,1-4,,Síndrome mielodisplásico,0,Definitivo,ECM36543
2000,all,1-4,,Trastornos mentales debidos al uso de alcohol,0,Definitivo,ECM37135
2000,all,1-4,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,Definitivo,ECM37134
2000,all,1-4,,"Trastornos mentales orgánicos, senil y presenil",0,Definitivo,ECM37136
2000,all,1-4,,Tuberculosis y sus efectos tardíos,0,Definitivo,ECM34496
2000,all,1-4,,Tumor maligno de la laringe,0,Definitivo,ECM36566
2000,all,1-4,,Tumor maligno de la mama,0,Definitivo,ECM36560
2000,all,1-4,,Tumor maligno de la próstata,0,Definitivo,ECM36555
2000,all,1-4,,"Tumor maligno de la tráquea, de los bronquios y del pulmón",0,Definitivo,ECM36565
2000,all,1-4,,Tumor maligno de la vejiga,0,Definitivo,ECM36552
2000,all,1-4,,Tumor maligno de otras partes del útero,0,Definitivo,ECM36558
2000,all,1-4,,"Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados",2,Definitivo,ECM36548
2000,all,1-4,,Tumor maligno del colon,0,Definitivo,ECM36571
2000,all,1-4,,Tumor maligno del cuello del útero,0,Definitivo,ECM36559
2000,all,1-4,,Tumor maligno del encéfalo,14,Definitivo,ECM36550
2000,all,1-4,,Tumor maligno del estómago,0,Definitivo,ECM36572
2000,all,1-4,,Tumor maligno del esófago,0,Definitivo,ECM36573
2000,all,1-4,,Tumor maligno del hígado y vías biliares intrahepáticas,1,Definitivo,ECM36569
2000,all,1-4,,"Tumor maligno del labio, de la cavidad bucal y de la faringe",1,Definitivo,ECM36574
2000,all,1-4,,Tumor maligno del ovario,0,Definitivo,ECM36557
2000,all,1-4,,Tumor maligno del páncreas,0,Definitivo,ECM36568
2000,all,1-4,,"Tumor maligno del recto, de la porción rectosigmoide y del ano",0,Definitivo,ECM36570
2000,all,1-4,,"Tumor maligno del riñón, excepto pelvis renal",0,Definitivo,ECM36553
2000,all,1-4,,Tumores benignos,0,Definitivo,ECM36544
2000,all,1-4,,Tumores in situ,0,Definitivo,ECM36545
2000,all,1-4,,Tumores malignos de otros órganos genitales femeninos,1,Definitivo,ECM36556
2000,all,1-4,,Tumores malignos de otros órganos genitales masculinos,0,Definitivo,ECM36554
2000,all,1-4,,Tumores malignos del hueso y de los cartílagos articulares,0,Definitivo,ECM36563
