year,subtype,africa_convicted_pct_of_africa_cap8,other_regions_avg_convicted_pct,morocco_pct_of_mir_africa_perpetrators,algeria_pct_of_mir_africa_perpetrators
2019,violacion,3.9,0.4,67.7,8.5
2019,agresion_sexual,26.4,17.2,67.7,8.5
2019,agresiones_sexuales,30.2,17.6,67.7,8.5
2019,abusos_sexuales,36.0,42.7,67.7,8.5
2019,acoso_sexual,0.8,0.9,67.7,8.5
2019,exhibicionismo,12.8,15.2,67.7,8.5
2020,violacion,3.1,0.4,68.5,7.7
2020,agresion_sexual,30.0,20.4,68.5,7.7
2020,agresiones_sexuales,33.1,20.8,68.5,7.7
2020,abusos_sexuales,38.5,39.0,68.5,7.7
2020,acoso_sexual,1.2,0.4,68.5,7.7
2020,exhibicionismo,9.7,7.7,68.5,7.7
2021,violacion,2.1,1.0,69.2,8.6
2021,agresion_sexual,25.8,15.5,69.2,8.6
2021,agresiones_sexuales,27.9,16.5,69.2,8.6
2021,abusos_sexuales,41.4,43.0,69.2,8.6
2021,acoso_sexual,0.3,0.5,69.2,8.6
2021,exhibicionismo,7.8,8.1,69.2,8.6
2022,violacion,1.6,2.5,66.1,9.2
2022,agresion_sexual,29.2,11.2,66.1,9.2
2022,agresiones_sexuales,30.8,13.6,66.1,9.2
2022,abusos_sexuales,41.5,31.0,66.1,9.2
2022,acoso_sexual,0.0,1.8,66.1,9.2
2022,exhibicionismo,6.9,8.8,66.1,9.2
2023,violacion,1.4,1.1,66.4,10.9
2023,agresion_sexual,43.7,30.6,66.4,10.9
2023,agresiones_sexuales,45.1,31.6,66.4,10.9
2023,abusos_sexuales,27.3,24.8,66.4,10.9
2023,acoso_sexual,1.4,0.1,66.4,10.9
2023,exhibicionismo,8.7,10.3,66.4,10.9
2024,violacion,4.8,2.0,59.8,13.1
2024,agresion_sexual,50.9,26.1,59.8,13.1
2024,agresiones_sexuales,55.7,28.1,59.8,13.1
2024,abusos_sexuales,20.0,14.1,59.8,13.1
2024,acoso_sexual,0.8,0.2,59.8,13.1
2024,exhibicionismo,6.8,4.2,59.8,13.1
