year,ref_date,sex,age_label,population
1971,1971-01-01,all,0 años,647443
1971,1971-01-01,all,1 año,628825
1971,1971-01-01,all,10 años,639306
1971,1971-01-01,all,11 años,614355
1971,1971-01-01,all,12 años,612386
1971,1971-01-01,all,13 años,599767
1971,1971-01-01,all,14 años,564380
1971,1971-01-01,all,15 años,560989
1971,1971-01-01,all,16 años,539238
1971,1971-01-01,all,17 años,545163
1971,1971-01-01,all,18 años,552746
1971,1971-01-01,all,19 años,511199
1971,1971-01-01,all,2 años,635129
1971,1971-01-01,all,20 años,516563
1971,1971-01-01,all,21 años,515730
1971,1971-01-01,all,22 años,545464
1971,1971-01-01,all,23 años,498773
1971,1971-01-01,all,24 años,472223
1971,1971-01-01,all,25 años,505288
1971,1971-01-01,all,26 años,475069
1971,1971-01-01,all,27 años,469725
1971,1971-01-01,all,28 años,413601
1971,1971-01-01,all,29 años,375800
1971,1971-01-01,all,3 años,651761
1971,1971-01-01,all,30 años,488093
1971,1971-01-01,all,31 años,317424
1971,1971-01-01,all,32 años,368858
1971,1971-01-01,all,33 años,421043
1971,1971-01-01,all,34 años,478567
1971,1971-01-01,all,35 años,469852
1971,1971-01-01,all,36 años,467074
1971,1971-01-01,all,37 años,492332
1971,1971-01-01,all,38 años,491035
1971,1971-01-01,all,39 años,469477
1971,1971-01-01,all,4 años,646334
1971,1971-01-01,all,40 años,503737
1971,1971-01-01,all,41 años,456092
1971,1971-01-01,all,42 años,469110
1971,1971-01-01,all,43 años,446132
1971,1971-01-01,all,44 años,450330
1971,1971-01-01,all,45 años,441189
1971,1971-01-01,all,46 años,432070
1971,1971-01-01,all,47 años,424550
1971,1971-01-01,all,48 años,433071
1971,1971-01-01,all,49 años,402687
1971,1971-01-01,all,5 años,656254
1971,1971-01-01,all,50 años,401966
1971,1971-01-01,all,51 años,334066
1971,1971-01-01,all,52 años,342950
1971,1971-01-01,all,53 años,328435
1971,1971-01-01,all,54 años,320036
1971,1971-01-01,all,55 años,329629
1971,1971-01-01,all,56 años,331411
1971,1971-01-01,all,57 años,325868
1971,1971-01-01,all,58 años,328456
1971,1971-01-01,all,59 años,315531
1971,1971-01-01,all,6 años,670336
1971,1971-01-01,all,60 años,332552
1971,1971-01-01,all,61 años,302870
1971,1971-01-01,all,62 años,301711
1971,1971-01-01,all,63 años,292369
1971,1971-01-01,all,64 años,282188
1971,1971-01-01,all,65 años,288271
1971,1971-01-01,all,66 años,261764
1971,1971-01-01,all,67 años,256528
1971,1971-01-01,all,68 años,245225
1971,1971-01-01,all,69 años,216968
1971,1971-01-01,all,7 años,645158
1971,1971-01-01,all,70 años,243099
1971,1971-01-01,all,71 años,171595
1971,1971-01-01,all,72 años,175565
1971,1971-01-01,all,73 años,160267
1971,1971-01-01,all,74 años,162263
1971,1971-01-01,all,75 años,147320
1971,1971-01-01,all,76 años,127017
1971,1971-01-01,all,77 años,115916
1971,1971-01-01,all,78 años,109745
1971,1971-01-01,all,79 años,85474
1971,1971-01-01,all,8 años,630531
1971,1971-01-01,all,80 años,94180
1971,1971-01-01,all,81 años,71041
1971,1971-01-01,all,82 años,71645
1971,1971-01-01,all,83 años,52586
1971,1971-01-01,all,84 años,46942
1971,1971-01-01,all,85 y más años,187261
1971,1971-01-01,all,9 años,617674
1971,1971-01-01,all,Todas las edades,34040642
1971,1971-01-01,female,0 años,314740
1971,1971-01-01,female,1 año,306134
1971,1971-01-01,female,10 años,312659
1971,1971-01-01,female,11 años,300586
1971,1971-01-01,female,12 años,298630
1971,1971-01-01,female,13 años,294186
1971,1971-01-01,female,14 años,276947
1971,1971-01-01,female,15 años,276455
1971,1971-01-01,female,16 años,267437
1971,1971-01-01,female,17 años,269975
1971,1971-01-01,female,18 años,272173
1971,1971-01-01,female,19 años,251184
1971,1971-01-01,female,2 años,308660
1971,1971-01-01,female,20 años,254594
1971,1971-01-01,female,21 años,256340
1971,1971-01-01,female,22 años,270754
1971,1971-01-01,female,23 años,245374
1971,1971-01-01,female,24 años,234037
1971,1971-01-01,female,25 años,253169
1971,1971-01-01,female,26 años,238543
1971,1971-01-01,female,27 años,233422
1971,1971-01-01,female,28 años,207150
1971,1971-01-01,female,29 años,186292
1971,1971-01-01,female,3 años,318631
1971,1971-01-01,female,30 años,244330
1971,1971-01-01,female,31 años,161384
1971,1971-01-01,female,32 años,185881
1971,1971-01-01,female,33 años,211148
1971,1971-01-01,female,34 años,245015
1971,1971-01-01,female,35 años,236428
1971,1971-01-01,female,36 años,236487
1971,1971-01-01,female,37 años,247701
1971,1971-01-01,female,38 años,247164
1971,1971-01-01,female,39 años,234472
1971,1971-01-01,female,4 años,315972
1971,1971-01-01,female,40 años,255304
1971,1971-01-01,female,41 años,230090
1971,1971-01-01,female,42 años,238181
1971,1971-01-01,female,43 años,226241
1971,1971-01-01,female,44 años,227035
1971,1971-01-01,female,45 años,225963
1971,1971-01-01,female,46 años,218989
1971,1971-01-01,female,47 años,214716
1971,1971-01-01,female,48 años,222894
1971,1971-01-01,female,49 años,200782
1971,1971-01-01,female,5 años,320657
1971,1971-01-01,female,50 años,211294
1971,1971-01-01,female,51 años,175781
1971,1971-01-01,female,52 años,184489
1971,1971-01-01,female,53 años,176451
1971,1971-01-01,female,54 años,172126
1971,1971-01-01,female,55 años,177203
1971,1971-01-01,female,56 años,179497
1971,1971-01-01,female,57 años,175019
1971,1971-01-01,female,58 años,178110
1971,1971-01-01,female,59 años,169126
1971,1971-01-01,female,6 años,326539
1971,1971-01-01,female,60 años,182953
1971,1971-01-01,female,61 años,161824
1971,1971-01-01,female,62 años,162157
1971,1971-01-01,female,63 años,158168
1971,1971-01-01,female,64 años,154300
1971,1971-01-01,female,65 años,159230
1971,1971-01-01,female,66 años,147245
1971,1971-01-01,female,67 años,142545
1971,1971-01-01,female,68 años,137846
1971,1971-01-01,female,69 años,120064
1971,1971-01-01,female,7 años,315675
1971,1971-01-01,female,70 años,145845
1971,1971-01-01,female,71 años,96000
1971,1971-01-01,female,72 años,101671
1971,1971-01-01,female,73 años,93511
1971,1971-01-01,female,74 años,95787
1971,1971-01-01,female,75 años,87889
1971,1971-01-01,female,76 años,76703
1971,1971-01-01,female,77 años,70517
1971,1971-01-01,female,78 años,67268
1971,1971-01-01,female,79 años,52278
1971,1971-01-01,female,8 años,307455
1971,1971-01-01,female,80 años,60283
1971,1971-01-01,female,81 años,43949
1971,1971-01-01,female,82 años,45951
1971,1971-01-01,female,83 años,33522
1971,1971-01-01,female,84 años,30710
1971,1971-01-01,female,85 y más años,125725
1971,1971-01-01,female,9 años,301288
1971,1971-01-01,female,Todas las edades,17398898
1971,1971-01-01,male,0 años,332704
1971,1971-01-01,male,1 año,322690
1971,1971-01-01,male,10 años,326647
1971,1971-01-01,male,11 años,313769
1971,1971-01-01,male,12 años,313757
1971,1971-01-01,male,13 años,305581
1971,1971-01-01,male,14 años,287433
1971,1971-01-01,male,15 años,284534
1971,1971-01-01,male,16 años,271800
1971,1971-01-01,male,17 años,275188
1971,1971-01-01,male,18 años,280572
1971,1971-01-01,male,19 años,260015
1971,1971-01-01,male,2 años,326470
1971,1971-01-01,male,20 años,261969
1971,1971-01-01,male,21 años,259390
1971,1971-01-01,male,22 años,274710
1971,1971-01-01,male,23 años,253399
1971,1971-01-01,male,24 años,238185
1971,1971-01-01,male,25 años,252119
1971,1971-01-01,male,26 años,236525
1971,1971-01-01,male,27 años,236303
1971,1971-01-01,male,28 años,206452
1971,1971-01-01,male,29 años,189509
1971,1971-01-01,male,3 años,333130
1971,1971-01-01,male,30 años,243763
1971,1971-01-01,male,31 años,156040
1971,1971-01-01,male,32 años,182976
1971,1971-01-01,male,33 años,209895
1971,1971-01-01,male,34 años,233552
1971,1971-01-01,male,35 años,233424
1971,1971-01-01,male,36 años,230586
1971,1971-01-01,male,37 años,244631
1971,1971-01-01,male,38 años,243871
1971,1971-01-01,male,39 años,235005
1971,1971-01-01,male,4 años,330362
1971,1971-01-01,male,40 años,248433
1971,1971-01-01,male,41 años,226002
1971,1971-01-01,male,42 años,230929
1971,1971-01-01,male,43 años,219892
1971,1971-01-01,male,44 años,223295
1971,1971-01-01,male,45 años,215226
1971,1971-01-01,male,46 años,213081
1971,1971-01-01,male,47 años,209834
1971,1971-01-01,male,48 años,210178
1971,1971-01-01,male,49 años,201905
1971,1971-01-01,male,5 años,335597
1971,1971-01-01,male,50 años,190673
1971,1971-01-01,male,51 años,158286
1971,1971-01-01,male,52 años,158460
1971,1971-01-01,male,53 años,151984
1971,1971-01-01,male,54 años,147910
1971,1971-01-01,male,55 años,152426
1971,1971-01-01,male,56 años,151915
1971,1971-01-01,male,57 años,150849
1971,1971-01-01,male,58 años,150345
1971,1971-01-01,male,59 años,146405
1971,1971-01-01,male,6 años,343796
1971,1971-01-01,male,60 años,149599
1971,1971-01-01,male,61 años,141046
1971,1971-01-01,male,62 años,139554
1971,1971-01-01,male,63 años,134201
1971,1971-01-01,male,64 años,127888
1971,1971-01-01,male,65 años,129041
1971,1971-01-01,male,66 años,114518
1971,1971-01-01,male,67 años,113983
1971,1971-01-01,male,68 años,107379
1971,1971-01-01,male,69 años,96904
1971,1971-01-01,male,7 años,329483
1971,1971-01-01,male,70 años,97254
1971,1971-01-01,male,71 años,75595
1971,1971-01-01,male,72 años,73893
1971,1971-01-01,male,73 años,66756
1971,1971-01-01,male,74 años,66476
1971,1971-01-01,male,75 años,59431
1971,1971-01-01,male,76 años,50314
1971,1971-01-01,male,77 años,45399
1971,1971-01-01,male,78 años,42477
1971,1971-01-01,male,79 años,33196
1971,1971-01-01,male,8 años,323076
1971,1971-01-01,male,80 años,33897
1971,1971-01-01,male,81 años,27093
1971,1971-01-01,male,82 años,25695
1971,1971-01-01,male,83 años,19064
1971,1971-01-01,male,84 años,16232
1971,1971-01-01,male,85 y más años,61537
1971,1971-01-01,male,9 años,316386
1971,1971-01-01,male,Todas las edades,16641744
1971,1971-07-01,all,0 años,651607
1971,1971-07-01,all,1 año,635646
1971,1971-07-01,all,10 años,628037
1971,1971-07-01,all,11 años,625966
1971,1971-07-01,all,12 años,612596
1971,1971-07-01,all,13 años,605184
