year,sex,age_group,population_july1
1971,all,1-4,2562574
1971,all,10-14,3052838
1971,all,15-19,2727384
1971,all,20-24,2563007
1971,all,25-29,2287018
1971,all,30-34,2022913
1971,all,35-39,2393732
1971,all,40-44,2332760
1971,all,45-49,2153979
1971,all,5-9,3236894
1971,all,50-54,1763350
1971,all,55-59,1626706
1971,all,60-64,1517126
1971,all,65-69,1284025
1971,all,70-74,918458
1971,all,75-79,600001
1971,all,80-84,334135
1971,all,<1,651607
1971,female,1-4,1248941
1971,female,10-14,1494184
1971,female,15-19,1346134
1971,female,20-24,1267576
1971,female,25-29,1142086
1971,female,30-34,1018488
1971,female,35-39,1207313
1971,female,40-44,1179687
1971,female,45-49,1095218
1971,female,5-9,1580364
1971,female,50-54,932442
1971,female,55-59,878286
1971,female,60-64,822724
1971,female,65-69,716800
1971,female,70-74,535068
1971,female,75-79,364283
1971,female,80-84,212907
1971,female,<1,316730
1971,male,1-4,1313633
1971,male,10-14,1558654
1971,male,15-19,1381249
1971,male,20-24,1295430
1971,male,25-29,1144930
1971,male,30-34,1004425
1971,male,35-39,1186418
1971,male,40-44,1153074
1971,male,45-49,1058760
1971,male,5-9,1656530
1971,male,50-54,830907
1971,male,55-59,748421
1971,male,60-64,694402
1971,male,65-69,567224
1971,male,70-74,383393
1971,male,75-79,235717
1971,male,80-84,121228
1971,male,<1,334877
1972,all,1-4,2565748
1972,all,10-14,3090411
1972,all,15-19,2762586
1972,all,20-24,2595284
1972,all,25-29,2374710
1972,all,30-34,1968388
1972,all,35-39,2362534
1972,all,40-44,2361472
1972,all,45-49,2178656
1972,all,5-9,3269953
1972,all,50-54,1846542
1972,all,55-59,1617608
1972,all,60-64,1532935
1972,all,65-69,1308357
1972,all,70-74,949068
1972,all,75-79,618643
1972,all,80-84,339981
1972,all,<1,663479
1972,female,1-4,1249106
1972,female,10-14,1512704
1972,female,15-19,1363211
1972,female,20-24,1283390
1972,female,25-29,1183911
1972,female,30-34,987115
1972,female,35-39,1194324
1972,female,40-44,1192618
1972,female,45-49,1107889
1972,female,5-9,1597099
1972,female,50-54,966050
1972,female,55-59,875194
1972,female,60-64,833335
1972,female,65-69,730925
1972,female,70-74,551815
1972,female,75-79,376462
1972,female,80-84,216952
1972,female,<1,322448
1972,male,1-4,1316641
1972,male,10-14,1577706
1972,male,15-19,1399374
1972,male,20-24,1311894
1972,male,25-29,1190799
1972,male,30-34,981272
1972,male,35-39,1168210
1972,male,40-44,1168854
1972,male,45-49,1070766
1972,male,5-9,1672855
1972,male,50-54,880492
1972,male,55-59,742414
1972,male,60-64,699598
1972,male,65-69,577432
1972,male,70-74,397252
1972,male,75-79,242181
1972,male,80-84,123028
1972,male,<1,341031
1973,all,1-4,2581596
1973,all,10-14,3122860
1973,all,15-19,2809551
1973,all,20-24,2602639
1973,all,25-29,2449144
1973,all,30-34,2015252
1973,all,35-39,2265653
1973,all,40-44,2393171
1973,all,45-49,2202984
1973,all,5-9,3284767
1973,all,50-54,1929958
1973,all,55-59,1615333
1973,all,60-64,1546587
1973,all,65-69,1326858
1973,all,70-74,993919
1973,all,75-79,630829
1973,all,80-84,347660
1973,all,<1,667002
1973,female,1-4,1256081
1973,female,10-14,1529742
1973,female,15-19,1384556
1973,female,20-24,1287161
1973,female,25-29,1219528
1973,female,30-34,1008701
1973,female,35-39,1145328
1973,female,40-44,1207093
1973,female,45-49,1119722
1973,female,5-9,1603516
1973,female,50-54,1000702
1973,female,55-59,875404
1973,female,60-64,843883
1973,female,65-69,740098
1973,female,70-74,577450
1973,female,75-79,383925
1973,female,80-84,222363
1973,female,<1,324191
1973,male,1-4,1325513
1973,male,10-14,1593118
1973,male,15-19,1424995
1973,male,20-24,1315478
1973,male,25-29,1229617
1973,male,30-34,1006551
1973,male,35-39,1120325
1973,male,40-44,1186079
1973,male,45-49,1083263
1973,male,5-9,1681250
1973,male,50-54,929256
1973,male,55-59,739928
1973,male,60-64,702706
1973,male,65-69,586759
1973,male,70-74,416467
1973,male,75-79,246901
1973,male,80-84,125298
1973,male,<1,342810
1974,all,1-4,2607435
1974,all,10-14,3173705
1974,all,15-19,2874145
1974,all,20-24,2592687
1974,all,25-29,2497216
1974,all,30-34,2143437
1974,all,35-39,2130250
1974,all,40-44,2407640
1974,all,45-49,2234177
1974,all,5-9,3269457
1974,all,50-54,2011339
1974,all,55-59,1615296
1974,all,60-64,1558009
1974,all,65-69,1347214
1974,all,70-74,1041274
1974,all,75-79,641583
1974,all,80-84,354771
1974,all,<1,663447
1974,female,1-4,1268371
1974,female,10-14,1555245
1974,female,15-19,1414208
1974,female,20-24,1282020
1974,female,25-29,1243132
1974,female,30-34,1070251
1974,female,35-39,1077456
1974,female,40-44,1213903
1974,female,45-49,1135833
1974,female,5-9,1594737
1974,female,50-54,1034497
1974,female,55-59,874908
1974,female,60-64,853481
1974,female,65-69,749510
1974,female,70-74,606197
1974,female,75-79,389519
1974,female,80-84,227710
1974,female,<1,322594
1974,male,1-4,1339065
1974,male,10-14,1618461
1974,male,15-19,1459939
1974,male,20-24,1310669
1974,male,25-29,1254083
1974,male,30-34,1073187
1974,male,35-39,1052794
1974,male,40-44,1193735
1974,male,45-49,1098344
1974,male,5-9,1674722
1974,male,50-54,976840
1974,male,55-59,740388
1974,male,60-64,704528
1974,male,65-69,597705
1974,male,70-74,435077
1974,male,75-79,252063
1974,male,80-84,127061
1974,male,<1,340853
1975,all,1-4,2635317
1975,all,10-14,3223046
1975,all,15-19,2946072
1975,all,20-24,2607443
1975,all,25-29,2507265
1975,all,30-34,2228440
1975,all,35-39,2065815
1975,all,40-44,2395577
1975,all,45-49,2272066
1975,all,5-9,3252445
1975,all,50-54,2073911
1975,all,55-59,1639956
1975,all,60-64,1558499
1975,all,65-69,1368656
1975,all,70-74,1071412
1975,all,75-79,666295
1975,all,80-84,362875
1975,all,<1,668420
1975,female,1-4,1281340
1975,female,10-14,1577244
1975,female,15-19,1450165
1975,female,20-24,1289586
1975,female,25-29,1246448
1975,female,30-34,1111713
1975,female,35-39,1044289
1975,female,40-44,1207417
1975,female,45-49,1153744
1975,female,5-9,1585369
1975,female,50-54,1061769
1975,female,55-59,885224
1975,female,60-64,855262
1975,female,65-69,761741
1975,female,70-74,622605
1975,female,75-79,406063
1975,female,80-84,233247
1975,female,<1,324035
1975,male,1-4,1353977
1975,male,10-14,1645802
1975,male,15-19,1495908
1975,male,20-24,1317856
1975,male,25-29,1260816
1975,male,30-34,1116727
1975,male,35-39,1021525
1975,male,40-44,1188160
1975,male,45-49,1118322
1975,male,5-9,1667075
1975,male,50-54,1012143
1975,male,55-59,754733
1975,male,60-64,703238
1975,male,65-69,606915
1975,male,70-74,448807
1975,male,75-79,260232
1975,male,80-84,129625
1975,male,<1,344385
1976,all,1-4,2650236
1976,all,10-14,3264694
1976,all,15-19,3011750
1976,all,20-24,2640678
1976,all,25-29,2511285
1976,all,30-34,2280545
1976,all,35-39,2024571
1976,all,40-44,2384746
1976,all,45-49,2306796
1976,all,5-9,3252065
1976,all,50-54,2113067
1976,all,55-59,1701869
1976,all,60-64,1550632
1976,all,65-69,1389536
1976,all,70-74,1093394
1976,all,75-79,698034
1976,all,80-84,379274
1976,all,<1,662526
1976,female,1-4,1287389
1976,female,10-14,1595152
1976,female,15-19,1484178
1976,female,20-24,1306341
1976,female,25-29,1246666
1976,female,30-34,1138244
1976,female,35-39,1018807
1976,female,40-44,1204365
1976,female,45-49,1169776
1976,female,5-9,1583626
1976,female,50-54,1080961
1976,female,55-59,910216
1976,female,60-64,852206
1976,female,65-69,774867
1976,female,70-74,633700
1976,female,75-79,426793
1976,female,80-84,243613
1976,female,<1,321076
1976,male,1-4,1362845
1976,male,10-14,1669542
1976,male,15-19,1527571
1976,male,20-24,1334338
1976,male,25-29,1264620
1976,male,30-34,1142301
1976,male,35-39,1005763
1976,male,40-44,1180382
1976,male,45-49,1137019
1976,male,5-9,1668440
1976,male,50-54,1032107
1976,male,55-59,791652
1976,male,60-64,698426
1976,male,65-69,614668
1976,male,70-74,459695
1976,male,75-79,271240
1976,male,80-84,135660
1976,male,<1,341450
1977,all,1-4,2652557
1977,all,10-14,3307886
1977,all,15-19,3060981
1977,all,20-24,2682752
1977,all,25-29,2531076
1977,all,30-34,2362570
1977,all,35-39,1970112
1977,all,40-44,2354351
1977,all,45-49,2337864
1977,all,5-9,3255767
1977,all,50-54,2138761
1977,all,55-59,1782351
1977,all,60-64,1542689
1977,all,65-69,1409563
1977,all,70-74,1118236
1977,all,75-79,728337
1977,all,80-84,394017
1977,all,<1,658800
1977,female,1-4,1287197
1977,female,10-14,1615440
1977,female,15-19,1508401
1977,female,20-24,1327160
1977,female,25-29,1256066
1977,female,30-34,1178752
1977,female,35-39,986924
1977,female,40-44,1191792
1977,female,45-49,1184062
1977,female,5-9,1584047
1977,female,50-54,1093944
1977,female,55-59,943187
1977,female,60-64,849705
1977,female,65-69,787386
1977,female,70-74,648331
1977,female,75-79,444115
1977,female,80-84,253079
1977,female,<1,318746
1977,male,1-4,1365360
1977,male,10-14,1692445
1977,male,15-19,1552582
1977,male,20-24,1355592
1977,male,25-29,1275010
1977,male,30-34,1183819
1977,male,35-39,983186
1977,male,40-44,1162560
1977,male,45-49,1153803
1977,male,5-9,1671720
1977,male,50-54,1044816
1977,male,55-59,839165
1977,male,60-64,692983
1977,male,65-69,622177
1977,male,70-74,469906
1977,male,75-79,284220
1977,male,80-84,140938
1977,male,<1,340054
1978,all,1-4,2642993
1978,all,10-14,3327390
1978,all,15-19,3106049
1978,all,20-24,2740180
1978,all,25-29,2525433
1978,all,30-34,2429950
1978,all,35-39,2016418
1978,all,40-44,2258716
1978,all,45-49,2370833
1978,all,5-9,3267525
1978,all,50-54,2164239
1978,all,55-59,1865037
1978,all,60-64,1539588
1978,all,65-69,1425907
1978,all,70-74,1141615
1978,all,75-79,769610
1978,all,80-84,405562
1978,all,<1,641933
1978,female,1-4,1281639
1978,female,10-14,1623864
1978,female,15-19,1530902
1978,female,20-24,1354925
1978,female,25-29,1252385
1978,female,30-34,1212204
1978,female,35-39,1008189
1978,female,40-44,1143247
1978,female,45-49,1199529
1978,female,5-9,1588513
1978,female,50-54,1106391
1978,female,55-59,977757
1978,female,60-64,849771
1978,female,65-69,799114
1978,female,70-74,660945
1978,female,75-79,468287
1978,female,80-84,260244
1978,female,<1,311035
1978,male,1-4,1361355
1978,male,10-14,1703526
1978,male,15-19,1575147
1978,male,20-24,1385253
1978,male,25-29,1273047
1978,male,30-34,1217746
1978,male,35-39,1008229
1978,male,40-44,1115469
1978,male,45-49,1171305
1978,male,5-9,1679012
1978,male,50-54,1057849
1978,male,55-59,887279
1978,male,60-64,689818
1978,male,65-69,626794
1978,male,70-74,480670
1978,male,75-79,301324
1978,male,80-84,145319
1978,male,<1,330898
1979,all,1-4,2608014
1979,all,10-14,3316266
1979,all,15-19,3170446
1979,all,20-24,2813990
1979,all,25-29,2506590
1979,all,30-34,2468892
1979,all,35-39,2142216
1979,all,40-44,2125692
1979,all,45-49,2384546
1979,all,5-9,3288288
1979,all,50-54,2196502
1979,all,55-59,1946113
1979,all,60-64,1538807
1979,all,65-69,1439129
1979,all,70-74,1167107
1979,all,75-79,810835
1979,all,80-84,416104
1979,all,<1,614763
1979,female,1-4,1264007
1979,female,10-14,1616977
1979,female,15-19,1561741
1979,female,20-24,1391205
1979,female,25-29,1242391
1979,female,30-34,1232246
1979,female,35-39,1068606
1979,female,40-44,1076459
1979,female,45-49,1205944
1979,female,5-9,1596649
1979,female,50-54,1123057
1979,female,55-59,1011952
1979,female,60-64,849191
1979,female,65-69,809212
1979,female,70-74,674664
1979,female,75-79,493363
1979,female,80-84,266630
1979,female,<1,297663
1979,male,1-4,1344005
1979,male,10-14,1699288
1979,male,15-19,1608707
1979,male,20-24,1422784
1979,male,25-29,1264198
1979,male,30-34,1236646
1979,male,35-39,1073609
1979,male,40-44,1049233
1979,male,45-49,1178602
