year,sex,age_group,nationality,population_july1
2002,all,0-4,foreign,88653
2002,all,0-4,spanish,1885497
2002,all,0-4,total,1974150
2002,all,10-14,foreign,98354
2002,all,10-14,spanish,2010051
2002,all,10-14,total,2108405
2002,all,15-19,foreign,111991
2002,all,15-19,spanish,2319969
2002,all,15-19,total,2431960
2002,all,20-24,foreign,237206
2002,all,20-24,spanish,2932949
2002,all,20-24,total,3170154
2002,all,25-29,foreign,315970
2002,all,25-29,spanish,3273698
2002,all,25-29,total,3589668
2002,all,30-34,foreign,296328
2002,all,30-34,spanish,3165228
2002,all,30-34,total,3461555
2002,all,35-39,foreign,235083
2002,all,35-39,spanish,3139287
2002,all,35-39,total,3374370
2002,all,40-44,foreign,167145
2002,all,40-44,spanish,2931405
2002,all,40-44,total,3098550
2002,all,45-49,foreign,113255
2002,all,45-49,spanish,2569532
2002,all,45-49,total,2682787
2002,all,5-9,foreign,97208
2002,all,5-9,spanish,1815649
2002,all,5-9,total,1912857
2002,all,50-54,foreign,77439
2002,all,50-54,spanish,2394643
2002,all,50-54,total,2472082
2002,all,55-59,foreign,59650
2002,all,55-59,spanish,2218688
2002,all,55-59,total,2278338
2002,all,60-64,foreign,53365
2002,all,60-64,spanish,1788682
2002,all,60-64,total,1842047
2002,all,65-69,foreign,41376
2002,all,65-69,spanish,2030171
2002,all,65-69,total,2071547
2002,all,70-74,foreign,28971
2002,all,70-74,spanish,1843931
2002,all,70-74,total,1872902
2002,all,75-79,foreign,18866
2002,all,75-79,spanish,1439061
2002,all,75-79,total,1457927
2002,all,80+,foreign,18019
2002,all,80+,spanish,1606200
2002,all,80+,total,1624218
2002,all,all,foreign,2058879
2002,all,all,spanish,39364640
2002,all,all,total,41423520
2002,female,0-4,foreign,43577
2002,female,0-4,spanish,917288
2002,female,0-4,total,960865
2002,female,10-14,foreign,47641
2002,female,10-14,spanish,977463
2002,female,10-14,total,1025104
2002,female,15-19,foreign,53938
2002,female,15-19,spanish,1130483
2002,female,15-19,total,1184421
2002,female,20-24,foreign,113520
2002,female,20-24,spanish,1432237
2002,female,20-24,total,1545757
2002,female,25-29,foreign,144199
2002,female,25-29,spanish,1605334
2002,female,25-29,total,1749533
2002,female,30-34,foreign,131480
2002,female,30-34,spanish,1564007
2002,female,30-34,total,1695488
2002,female,35-39,foreign,106857
2002,female,35-39,spanish,1565011
2002,female,35-39,total,1671867
2002,female,40-44,foreign,78205
2002,female,40-44,spanish,1470585
2002,female,40-44,total,1548791
2002,female,45-49,foreign,55233
2002,female,45-49,spanish,1291772
2002,female,45-49,total,1347005
2002,female,5-9,foreign,47399
2002,female,5-9,spanish,883563
2002,female,5-9,total,930961
2002,female,50-54,foreign,40263
2002,female,50-54,spanish,1208646
2002,female,50-54,total,1248909
2002,female,55-59,foreign,31496
2002,female,55-59,spanish,1133437
2002,female,55-59,total,1164933
2002,female,60-64,foreign,27107
2002,female,60-64,spanish,930103
2002,female,60-64,total,957210
2002,female,65-69,foreign,19929
2002,female,65-69,spanish,1086029
2002,female,65-69,total,1105958
2002,female,70-74,foreign,13985
2002,female,70-74,spanish,1020821
2002,female,70-74,total,1034806
2002,female,75-79,foreign,9467
2002,female,75-79,spanish,841247
2002,female,75-79,total,850714
2002,female,80+,foreign,10064
2002,female,80+,spanish,1064280
2002,female,80+,total,1074343
2002,female,all,foreign,974361
2002,female,all,spanish,20122305
2002,female,all,total,21096666
2002,male,0-4,foreign,45076
2002,male,0-4,spanish,968209
2002,male,0-4,total,1013285
2002,male,10-14,foreign,50713
2002,male,10-14,spanish,1032588
2002,male,10-14,total,1083301
2002,male,15-19,foreign,58053
2002,male,15-19,spanish,1189486
2002,male,15-19,total,1247539
2002,male,20-24,foreign,123686
2002,male,20-24,spanish,1500712
2002,male,20-24,total,1624398
2002,male,25-29,foreign,171771
2002,male,25-29,spanish,1668364
2002,male,25-29,total,1840135
2002,male,30-34,foreign,164847
2002,male,30-34,spanish,1601220
