section,series,year,value
category,agresion_sexual_unified,2019,8885
category,agresion_sexual_unified,2020,7276
category,agresion_sexual_unified,2021,10061
category,agresion_sexual_unified,2022,11426
category,agresion_sexual_unified,2023,12727
category,agresion_sexual_unified,2024,13674
category,agresion_sexual_con_penetracion_unified,2019,3079
category,agresion_sexual_con_penetracion_unified,2020,2785
category,agresion_sexual_con_penetracion_unified,2021,3795
category,agresion_sexual_con_penetracion_unified,2022,4270
category,agresion_sexual_con_penetracion_unified,2023,4890
category,agresion_sexual_con_penetracion_unified,2024,5222
category,pornografia_menores,2019,866
category,pornografia_menores,2020,762
category,pornografia_menores,2021,739
category,pornografia_menores,2022,707
category,pornografia_menores,2023,836
category,pornografia_menores,2024,913
category,exhibicionismo,2019,690
category,exhibicionismo,2020,612
category,exhibicionismo,2021,683
category,exhibicionismo,2022,739
category,exhibicionismo,2023,909
category,exhibicionismo,2024,839
category,corrupcion_menores_discapacitados,2019,369
category,corrupcion_menores_discapacitados,2020,350
category,corrupcion_menores_discapacitados,2021,347
category,corrupcion_menores_discapacitados,2022,384
category,corrupcion_menores_discapacitados,2023,389
category,corrupcion_menores_discapacitados,2024,431
category,contacto_tecnologico_menor_16,2019,527
category,contacto_tecnologico_menor_16,2020,575
category,contacto_tecnologico_menor_16,2021,534
category,contacto_tecnologico_menor_16,2022,498
category,contacto_tecnologico_menor_16,2023,739
category,contacto_tecnologico_menor_16,2024,554
category,acoso_sexual,2019,540
category,acoso_sexual,2020,476
category,acoso_sexual,2021,528
category,acoso_sexual,2022,595
category,acoso_sexual,2023,763
category,acoso_sexual,2024,759
category,delitos_relativos_prostitucion,2019,248
category,delitos_relativos_prostitucion,2020,216
category,delitos_relativos_prostitucion,2021,229
category,delitos_relativos_prostitucion,2022,216
category,delitos_relativos_prostitucion,2023,328
category,delitos_relativos_prostitucion,2024,252
category,provocacion_sexual,2019,115
category,provocacion_sexual,2020,122
category,provocacion_sexual,2021,100
category,provocacion_sexual,2022,178
category,provocacion_sexual,2023,153
category,provocacion_sexual,2024,138
category,promocion_prostitucion_nuevas_tecnologias,2023,91
category,promocion_prostitucion_nuevas_tecnologias,2024,64
nationality_total,spanish,2017,4145
nationality_total,spanish,2018,5648
nationality_total,spanish,2019,6262
nationality_total,spanish,2020,5339
nationality_total,spanish,2021,6839
nationality_total,spanish,2022,7501
nationality_total,spanish,2023,8633
nationality_total,spanish,2024,8735
nationality_total,foreign,2017,1768
nationality_total,foreign,2018,2732
nationality_total,foreign,2019,3372
nationality_total,foreign,2020,2618
nationality_total,foreign,2021,3602
nationality_total,foreign,2022,4183
nationality_total,foreign,2023,5136
nationality_total,foreign,2024,5641
nationality_country,MA,2017,309
nationality_country,MA,2018,564
nationality_country,MA,2019,751
nationality_country,MA,2020,536
nationality_country,MA,2021,801
nationality_country,MA,2022,907
nationality_country,MA,2023,1001
nationality_country,MA,2024,1100
nationality_country,DZ,2018,72
nationality_country,DZ,2019,94
nationality_country,DZ,2020,60
nationality_country,DZ,2021,100
nationality_country,DZ,2022,126
nationality_country,DZ,2023,164
nationality_country,DZ,2024,241
nationality_country,CO,2017,132
nationality_country,CO,2018,172
nationality_country,CO,2019,229
nationality_country,CO,2020,262
nationality_country,CO,2021,350
nationality_country,CO,2022,385
nationality_country,CO,2023,600
nationality_country,CO,2024,676
nationality_country,RO,2017,244
nationality_country,RO,2018,303
nationality_country,RO,2019,287
nationality_country,RO,2020,250
nationality_country,RO,2021,282
nationality_country,RO,2022,316
nationality_country,RO,2023,344
nationality_country,RO,2024,327
migration_inflow_total,all,2000,362468.0
migration_inflow_total,all,2001,414772.0
migration_inflow_total,all,2002,483260.0
migration_inflow_total,all,2003,470010.0
migration_inflow_total,all,2004,684561.0
migration_inflow_total,all,2005,719284.0
migration_inflow_total,all,2006,840844.0
migration_inflow_total,all,2007,958266.0
migration_inflow_total,all,2008,599074.0
migration_inflow_total,all,2009,392963.0
migration_inflow_total,all,2010,360704.0
migration_inflow_total,all,2011,371335.0
migration_inflow_total,all,2012,304054.0
migration_inflow_total,all,2013,280772.0
migration_inflow_total,all,2014,305454.0
migration_inflow_total,all,2015,342114.0
migration_inflow_total,all,2016,414746.0
migration_inflow_total,all,2017,532132.0
migration_inflow_total,all,2018,643684.0
migration_inflow_total,all,2019,750480.0
migration_inflow_total,all,2020,467918.0
migration_inflow_total,all,2021,887960.0
migration_inflow_total,all,2022,1258894.0
migration_inflow_total,all,2023,1250991.0
migration_inflow_total,all,2024,1288562.0
migrant_pop_share_pct,all,2000,2.2781233932071667
migrant_pop_share_pct,all,2001,3.3622513519093142
migrant_pop_share_pct,all,2002,4.774934626511702
migrant_pop_share_pct,all,2003,6.313758661082218
migrant_pop_share_pct,all,2004,7.07975830146054
migrant_pop_share_pct,all,2005,8.544175048437323
migrant_pop_share_pct,all,2006,9.34201423567655
migrant_pop_share_pct,all,2007,9.991054029347595
migrant_pop_share_pct,all,2008,11.458023324056823
migrant_pop_share_pct,all,2009,12.18238022851672
migrant_pop_share_pct,all,2010,12.344129627606462
migrant_pop_share_pct,all,2011,12.30626258270853
migrant_pop_share_pct,all,2012,12.2702535265606
migrant_pop_share_pct,all,2013,11.906621231381193
migrant_pop_share_pct,all,2014,10.818774558208002
migrant_pop_share_pct,all,2015,10.196631068403438
migrant_pop_share_pct,all,2016,9.948028199047538
migrant_pop_share_pct,all,2017,9.831781714655548
migrant_pop_share_pct,all,2018,10.135186090628862
migrant_pop_share_pct,all,2019,10.69678420587185
migrant_pop_share_pct,all,2020,11.477811779831946
migrant_pop_share_pct,all,2021,11.489992699828981
migrant_pop_share_pct,all,2022,11.60061726170422
migrant_pop_share_pct,all,2023,12.602554773831077
migrant_pop_share_pct,all,2024,13.318361647928095
cumulative_inflow_3yr_country,MA,2017,93384.0
cumulative_inflow_3yr_country,MA,2018,130489.0
cumulative_inflow_3yr_country,MA,2019,173642.0
cumulative_inflow_3yr_country,MA,2020,178741.0
cumulative_inflow_3yr_country,MA,2021,217266.0
cumulative_inflow_3yr_country,MA,2022,258125.0
cumulative_inflow_3yr_country,MA,2023,336653.0
cumulative_inflow_3yr_country,MA,2024,370323.0
cumulative_inflow_3yr_country,DZ,2018,15685.0
cumulative_inflow_3yr_country,DZ,2019,18653.0
cumulative_inflow_3yr_country,DZ,2020,18166.0
cumulative_inflow_3yr_country,DZ,2021,21154.0
cumulative_inflow_3yr_country,DZ,2022,26186.0
cumulative_inflow_3yr_country,DZ,2023,36963.0
cumulative_inflow_3yr_country,DZ,2024,50480.0
cumulative_inflow_3yr_country,CO,2017,66067.0
cumulative_inflow_3yr_country,CO,2018,110002.0
cumulative_inflow_3yr_country,CO,2019,164224.0
cumulative_inflow_3yr_country,CO,2020,181526.0
cumulative_inflow_3yr_country,CO,2021,192759.0
cumulative_inflow_3yr_country,CO,2022,288184.0
cumulative_inflow_3yr_country,CO,2023,407498.0
cumulative_inflow_3yr_country,CO,2024,511085.0
cumulative_inflow_3yr_country,RO,2017,88445.0
cumulative_inflow_3yr_country,RO,2018,88762.0
cumulative_inflow_3yr_country,RO,2019,87144.0
