year,breakdown_type,category,victims_count,perpetrators_count,confidence,notes
2024,age,TOTAL,48,47,high,Age distribution from VMujeres_2024.pdf
2024,age,15 años o menos,1,0,high,Age distribution from VMujeres_2024.pdf
2024,age,De 16 a 17 años,0,1,high,Age distribution from VMujeres_2024.pdf
2024,age,De 18 a 20 años,1,0,high,Age distribution from VMujeres_2024.pdf
2024,age,De 21 a 30 años,5,2,high,Age distribution from VMujeres_2024.pdf
2024,age,De 31 a 40 años,13,13,high,Age distribution from VMujeres_2024.pdf
2024,age,De 41 a 50 años,14,13,high,Age distribution from VMujeres_2024.pdf
2024,age,De 51 a 60 años,6,10,high,Age distribution from VMujeres_2024.pdf
2024,age,De 61 a 70 años,5,4,high,Age distribution from VMujeres_2024.pdf
2024,age,De 71 a 84 años,3,3,high,Age distribution from VMujeres_2024.pdf
2024,age,85 años o más,0,1,high,Age distribution from VMujeres_2024.pdf
2024,origin,TOTAL,48,47,high,Origin distribution from VMujeres_2024.pdf
2024,origin,España,24,30,high,Origin distribution from VMujeres_2024.pdf
2024,origin,Otro país,24,17,high,Origin distribution from VMujeres_2024.pdf
