nacionalidad,anyo,ambito,sexo,total
ALBANIA,2021,ANTIGITANISMO,Ambos sexos,0
ALBANIA,2021,ANTIGITANISMO,Femenino,0
ALBANIA,2021,ANTIGITANISMO,Masculino,0
ALEMANIA,2021,ANTIGITANISMO,Ambos sexos,0
ALEMANIA,2021,ANTIGITANISMO,Femenino,0
ALEMANIA,2021,ANTIGITANISMO,Masculino,0
ANDORRA,2021,ANTIGITANISMO,Ambos sexos,0
ANDORRA,2021,ANTIGITANISMO,Femenino,0
ANDORRA,2021,ANTIGITANISMO,Masculino,0
ANGOLA,2021,ANTIGITANISMO,Ambos sexos,0
ANGOLA,2021,ANTIGITANISMO,Femenino,0
ANGOLA,2021,ANTIGITANISMO,Masculino,0
ARGELIA,2021,ANTIGITANISMO,Ambos sexos,0
ARGELIA,2021,ANTIGITANISMO,Femenino,0
ARGELIA,2021,ANTIGITANISMO,Masculino,0
ARGENTINA,2021,ANTIGITANISMO,Ambos sexos,0
ARGENTINA,2021,ANTIGITANISMO,Femenino,0
ARGENTINA,2021,ANTIGITANISMO,Masculino,0
ARMENIA,2021,ANTIGITANISMO,Ambos sexos,0
ARMENIA,2021,ANTIGITANISMO,Femenino,0
ARMENIA,2021,ANTIGITANISMO,Masculino,0
BANGLADESH,2021,ANTIGITANISMO,Ambos sexos,0
BANGLADESH,2021,ANTIGITANISMO,Femenino,0
BANGLADESH,2021,ANTIGITANISMO,Masculino,0
BIELORRUSIA,2021,ANTIGITANISMO,Ambos sexos,0
BIELORRUSIA,2021,ANTIGITANISMO,Femenino,0
BIELORRUSIA,2021,ANTIGITANISMO,Masculino,0
BOLIVIA,2021,ANTIGITANISMO,Ambos sexos,0
BOLIVIA,2021,ANTIGITANISMO,Femenino,0
BOLIVIA,2021,ANTIGITANISMO,Masculino,0
BRASIL,2021,ANTIGITANISMO,Ambos sexos,0
BRASIL,2021,ANTIGITANISMO,Femenino,0
BRASIL,2021,ANTIGITANISMO,Masculino,0
BULGARIA,2021,ANTIGITANISMO,Ambos sexos,0
BULGARIA,2021,ANTIGITANISMO,Femenino,0
BULGARIA,2021,ANTIGITANISMO,Masculino,0
BÉLGICA,2021,ANTIGITANISMO,Ambos sexos,0
BÉLGICA,2021,ANTIGITANISMO,Femenino,0
BÉLGICA,2021,ANTIGITANISMO,Masculino,0
CAMERÚN,2021,ANTIGITANISMO,Ambos sexos,0
CAMERÚN,2021,ANTIGITANISMO,Femenino,0
CAMERÚN,2021,ANTIGITANISMO,Masculino,0
CENTRO ÁFRICANA REPÚBLICA,2021,ANTIGITANISMO,Ambos sexos,0
CENTRO ÁFRICANA REPÚBLICA,2021,ANTIGITANISMO,Femenino,0
CENTRO ÁFRICANA REPÚBLICA,2021,ANTIGITANISMO,Masculino,0
CHILE,2021,ANTIGITANISMO,Ambos sexos,0
CHILE,2021,ANTIGITANISMO,Femenino,0
CHILE,2021,ANTIGITANISMO,Masculino,0
CHINA POPULAR,2021,ANTIGITANISMO,Ambos sexos,0
CHINA POPULAR,2021,ANTIGITANISMO,Femenino,0
CHINA POPULAR,2021,ANTIGITANISMO,Masculino,0
COLOMBIA,2021,ANTIGITANISMO,Ambos sexos,0
COLOMBIA,2021,ANTIGITANISMO,Femenino,0
COLOMBIA,2021,ANTIGITANISMO,Masculino,0
CONGO-BRAZZAVILLE,2021,ANTIGITANISMO,Ambos sexos,0
CONGO-BRAZZAVILLE,2021,ANTIGITANISMO,Femenino,0
CONGO-BRAZZAVILLE,2021,ANTIGITANISMO,Masculino,0
COSTA DE MARFIL,2021,ANTIGITANISMO,Ambos sexos,0
COSTA DE MARFIL,2021,ANTIGITANISMO,Femenino,0
COSTA DE MARFIL,2021,ANTIGITANISMO,Masculino,0
CROACIA,2021,ANTIGITANISMO,Ambos sexos,0
CROACIA,2021,ANTIGITANISMO,Femenino,0
CROACIA,2021,ANTIGITANISMO,Masculino,0
CUBA,2021,ANTIGITANISMO,Ambos sexos,0
CUBA,2021,ANTIGITANISMO,Femenino,0
CUBA,2021,ANTIGITANISMO,Masculino,0
ECUADOR,2021,ANTIGITANISMO,Ambos sexos,0
ECUADOR,2021,ANTIGITANISMO,Femenino,0
ECUADOR,2021,ANTIGITANISMO,Masculino,0
EE.UU.,2021,ANTIGITANISMO,Ambos sexos,0
EE.UU.,2021,ANTIGITANISMO,Femenino,0
EE.UU.,2021,ANTIGITANISMO,Masculino,0
EGIPTO,2021,ANTIGITANISMO,Ambos sexos,0
EGIPTO,2021,ANTIGITANISMO,Femenino,0
EGIPTO,2021,ANTIGITANISMO,Masculino,0
EL SALVADOR,2021,ANTIGITANISMO,Ambos sexos,0
EL SALVADOR,2021,ANTIGITANISMO,Femenino,0
EL SALVADOR,2021,ANTIGITANISMO,Masculino,0
ERITREA,2021,ANTIGITANISMO,Ambos sexos,0
ERITREA,2021,ANTIGITANISMO,Femenino,0
ERITREA,2021,ANTIGITANISMO,Masculino,0
ESLOVAQUIA,2021,ANTIGITANISMO,Ambos sexos,0
ESLOVAQUIA,2021,ANTIGITANISMO,Femenino,0
ESLOVAQUIA,2021,ANTIGITANISMO,Masculino,0
ESPAÑA,2021,ANTIGITANISMO,Ambos sexos,0
ESPAÑA,2021,ANTIGITANISMO,Femenino,0
ESPAÑA,2021,ANTIGITANISMO,Masculino,0
ESTONIA,2021,ANTIGITANISMO,Ambos sexos,0
ESTONIA,2021,ANTIGITANISMO,Femenino,0
ESTONIA,2021,ANTIGITANISMO,Masculino,0
FILIPINAS,2021,ANTIGITANISMO,Ambos sexos,0
FILIPINAS,2021,ANTIGITANISMO,Femenino,0
FILIPINAS,2021,ANTIGITANISMO,Masculino,0
FRANCIA,2021,ANTIGITANISMO,Ambos sexos,0
FRANCIA,2021,ANTIGITANISMO,Femenino,0
FRANCIA,2021,ANTIGITANISMO,Masculino,0
GAMBIA,2021,ANTIGITANISMO,Ambos sexos,0
GAMBIA,2021,ANTIGITANISMO,Femenino,0
GAMBIA,2021,ANTIGITANISMO,Masculino,0
GEORGIA,2021,ANTIGITANISMO,Ambos sexos,0
GEORGIA,2021,ANTIGITANISMO,Femenino,0
GEORGIA,2021,ANTIGITANISMO,Masculino,0
GHANA,2021,ANTIGITANISMO,Ambos sexos,0
GHANA,2021,ANTIGITANISMO,Femenino,0
GHANA,2021,ANTIGITANISMO,Masculino,0
GRECIA,2021,ANTIGITANISMO,Ambos sexos,0
GRECIA,2021,ANTIGITANISMO,Femenino,0
GRECIA,2021,ANTIGITANISMO,Masculino,0
GUATEMALA,2021,ANTIGITANISMO,Ambos sexos,0
GUATEMALA,2021,ANTIGITANISMO,Femenino,0
GUATEMALA,2021,ANTIGITANISMO,Masculino,0
GUINEA ECUATORIAL,2021,ANTIGITANISMO,Ambos sexos,0
GUINEA ECUATORIAL,2021,ANTIGITANISMO,Femenino,0
GUINEA ECUATORIAL,2021,ANTIGITANISMO,Masculino,0
GUINEA REP.,2021,ANTIGITANISMO,Ambos sexos,0
GUINEA REP.,2021,ANTIGITANISMO,Femenino,0
GUINEA REP.,2021,ANTIGITANISMO,Masculino,0
HAITI,2021,ANTIGITANISMO,Ambos sexos,0
HAITI,2021,ANTIGITANISMO,Femenino,0
HAITI,2021,ANTIGITANISMO,Masculino,0
HOLANDA,2021,ANTIGITANISMO,Ambos sexos,0
HOLANDA,2021,ANTIGITANISMO,Femenino,0
HOLANDA,2021,ANTIGITANISMO,Masculino,0
HONDURAS,2021,ANTIGITANISMO,Ambos sexos,0
HONDURAS,2021,ANTIGITANISMO,Femenino,0
HONDURAS,2021,ANTIGITANISMO,Masculino,0
INDIA,2021,ANTIGITANISMO,Ambos sexos,0
INDIA,2021,ANTIGITANISMO,Femenino,0
INDIA,2021,ANTIGITANISMO,Masculino,0
IRLANDA,2021,ANTIGITANISMO,Ambos sexos,0
IRLANDA,2021,ANTIGITANISMO,Femenino,0
IRLANDA,2021,ANTIGITANISMO,Masculino,0
IRÁN,2021,ANTIGITANISMO,Ambos sexos,0
IRÁN,2021,ANTIGITANISMO,Femenino,0
IRÁN,2021,ANTIGITANISMO,Masculino,0
ISRAEL,2021,ANTIGITANISMO,Ambos sexos,0
ISRAEL,2021,ANTIGITANISMO,Femenino,0
ISRAEL,2021,ANTIGITANISMO,Masculino,0
ITALIA,2021,ANTIGITANISMO,Ambos sexos,0
ITALIA,2021,ANTIGITANISMO,Femenino,0
ITALIA,2021,ANTIGITANISMO,Masculino,0
LETONIA,2021,ANTIGITANISMO,Ambos sexos,0
LETONIA,2021,ANTIGITANISMO,Femenino,0
LETONIA,2021,ANTIGITANISMO,Masculino,0
LIBERIA,2021,ANTIGITANISMO,Ambos sexos,0
LIBERIA,2021,ANTIGITANISMO,Femenino,0
LIBERIA,2021,ANTIGITANISMO,Masculino,0
LIBIA,2021,ANTIGITANISMO,Ambos sexos,0
LIBIA,2021,ANTIGITANISMO,Femenino,0
LIBIA,2021,ANTIGITANISMO,Masculino,0
LITUANIA,2021,ANTIGITANISMO,Ambos sexos,0
LITUANIA,2021,ANTIGITANISMO,Femenino,0
LITUANIA,2021,ANTIGITANISMO,Masculino,0
LÍBANO,2021,ANTIGITANISMO,Ambos sexos,0
LÍBANO,2021,ANTIGITANISMO,Femenino,0
LÍBANO,2021,ANTIGITANISMO,Masculino,0
MALI,2021,ANTIGITANISMO,Ambos sexos,0
MALI,2021,ANTIGITANISMO,Femenino,0
MALI,2021,ANTIGITANISMO,Masculino,0
MARRUECOS,2021,ANTIGITANISMO,Ambos sexos,0
MARRUECOS,2021,ANTIGITANISMO,Femenino,0
MARRUECOS,2021,ANTIGITANISMO,Masculino,0
MAURITANIA,2021,ANTIGITANISMO,Ambos sexos,0
MAURITANIA,2021,ANTIGITANISMO,Femenino,0
MAURITANIA,2021,ANTIGITANISMO,Masculino,0
MOLDAVIA,2021,ANTIGITANISMO,Ambos sexos,0
MOLDAVIA,2021,ANTIGITANISMO,Femenino,0
MOLDAVIA,2021,ANTIGITANISMO,Masculino,0
MONGOLIA,2021,ANTIGITANISMO,Ambos sexos,0
MONGOLIA,2021,ANTIGITANISMO,Femenino,0
MONGOLIA,2021,ANTIGITANISMO,Masculino,0
NEPAL,2021,ANTIGITANISMO,Ambos sexos,0
NEPAL,2021,ANTIGITANISMO,Femenino,0
NEPAL,2021,ANTIGITANISMO,Masculino,0
NICARAGUA,2021,ANTIGITANISMO,Ambos sexos,0
NICARAGUA,2021,ANTIGITANISMO,Femenino,0
NICARAGUA,2021,ANTIGITANISMO,Masculino,0
NIGERIA,2021,ANTIGITANISMO,Ambos sexos,0
NIGERIA,2021,ANTIGITANISMO,Femenino,0
NIGERIA,2021,ANTIGITANISMO,Masculino,0
NÍGER REP.,2021,ANTIGITANISMO,Ambos sexos,0
