anyo,ambito,total_nacionalidad,espana,foreign,pct_spanish
2021,ANTIGITANISMO,0,0,0,
2021,ANTISEMITISMO,5,5,0,100.0
2021,APOROFOBIA,8,7,1,87.5
2021,CREENCIAS O PRÁCTICAS RELIGIOSAS,33,31,2,93.9
2021,DISCRIMINACIÓN GENERACIONAL,0,0,0,
2021,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0,0,0,
2021,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0,0,0,
2021,DISFOBIA,108,90,18,83.3
2021,IDEOLOGÍA,0,0,0,
2021,ISLAMOFOBIA,0,0,0,
2021,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,272,207,65,76.1
2021,RACISMO/XENOFOBIA,84,63,21,75.0
2021,TOTAL ámbito,742,561,181,75.6
2022,ANTIGITANISMO,14,11,3,78.6
2022,ANTISEMITISMO,8,6,2,75.0
2022,APOROFOBIA,14,10,4,71.4
2022,CREENCIAS O PRÁCTICAS RELIGIOSAS,41,36,5,87.8
2022,DISCRIMINACIÓN GENERACIONAL,5,5,0,100.0
2022,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,2,2,0,100.0
2022,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,67,44,23,65.7
2022,DISFOBIA,15,13,2,86.7
2022,IDEOLOGÍA,88,79,9,89.8
2022,ISLAMOFOBIA,0,0,0,
2022,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,223,163,60,73.1
2022,RACISMO/XENOFOBIA,361,276,85,76.5
2022,TOTAL ámbito,838,645,193,77.0
2023,ANTIGITANISMO,7,7,0,100.0
2023,ANTISEMITISMO,6,3,3,50.0
2023,APOROFOBIA,19,18,1,94.7
2023,CREENCIAS O PRÁCTICAS RELIGIOSAS,31,24,7,77.4
2023,DISCRIMINACIÓN GENERACIONAL,9,5,4,55.6
2023,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,4,3,1,75.0
2023,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,107,65,42,60.7
2023,DISFOBIA,42,38,4,90.5
2023,IDEOLOGÍA,122,113,9,92.6
2023,ISLAMOFOBIA,0,0,0,
2023,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,269,194,75,72.1
2023,RACISMO/XENOFOBIA,545,444,101,81.5
2023,TOTAL ámbito,1161,914,247,78.7
2024,ANTIGITANISMO,9,7,2,77.8
2024,ANTISEMITISMO,11,6,5,54.5
2024,APOROFOBIA,20,20,0,100.0
2024,CREENCIAS O PRÁCTICAS RELIGIOSAS,21,12,9,57.1
2024,DISCRIMINACIÓN GENERACIONAL,6,5,1,83.3
2024,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,1,1,0,100.0
2024,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,77,48,29,62.3
2024,DISFOBIA,9,9,0,100.0
2024,IDEOLOGÍA,61,58,3,95.1
2024,ISLAMOFOBIA,13,9,4,69.2
2024,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,249,180,69,72.3
2024,RACISMO/XENOFOBIA,424,327,97,77.1
2024,TOTAL ámbito,901,682,219,75.7
