nacionalidad,anyo,ambito,sexo,total
AFGANISTÁN,2021,ANTIGITANISMO,Femenino,0
AFGANISTÁN,2021,ANTIGITANISMO,Masculino,0
AFGANISTÁN,2021,ANTIGITANISMO,Persona jurídica,0
AFGANISTÁN,2021,ANTIGITANISMO,Se desconoce,0
AFGANISTÁN,2021,ANTIGITANISMO,TOTAL sexo,0
ALBANIA,2021,ANTIGITANISMO,Femenino,0
ALBANIA,2021,ANTIGITANISMO,Masculino,0
ALBANIA,2021,ANTIGITANISMO,Persona jurídica,0
ALBANIA,2021,ANTIGITANISMO,Se desconoce,0
ALBANIA,2021,ANTIGITANISMO,TOTAL sexo,0
ALEMANIA,2021,ANTIGITANISMO,Femenino,0
ALEMANIA,2021,ANTIGITANISMO,Masculino,0
ALEMANIA,2021,ANTIGITANISMO,Persona jurídica,0
ALEMANIA,2021,ANTIGITANISMO,Se desconoce,0
ALEMANIA,2021,ANTIGITANISMO,TOTAL sexo,0
ANGOLA,2021,ANTIGITANISMO,Femenino,0
ANGOLA,2021,ANTIGITANISMO,Masculino,0
ANGOLA,2021,ANTIGITANISMO,Persona jurídica,0
ANGOLA,2021,ANTIGITANISMO,Se desconoce,0
ANGOLA,2021,ANTIGITANISMO,TOTAL sexo,0
ARGELIA,2021,ANTIGITANISMO,Femenino,0
ARGELIA,2021,ANTIGITANISMO,Masculino,0
ARGELIA,2021,ANTIGITANISMO,Persona jurídica,0
ARGELIA,2021,ANTIGITANISMO,Se desconoce,0
ARGELIA,2021,ANTIGITANISMO,TOTAL sexo,0
ARGENTINA,2021,ANTIGITANISMO,Femenino,0
ARGENTINA,2021,ANTIGITANISMO,Masculino,0
ARGENTINA,2021,ANTIGITANISMO,Persona jurídica,0
ARGENTINA,2021,ANTIGITANISMO,Se desconoce,0
ARGENTINA,2021,ANTIGITANISMO,TOTAL sexo,0
ARMENIA,2021,ANTIGITANISMO,Femenino,0
ARMENIA,2021,ANTIGITANISMO,Masculino,0
ARMENIA,2021,ANTIGITANISMO,Persona jurídica,0
ARMENIA,2021,ANTIGITANISMO,Se desconoce,0
ARMENIA,2021,ANTIGITANISMO,TOTAL sexo,0
AUSTRIA,2021,ANTIGITANISMO,Femenino,0
AUSTRIA,2021,ANTIGITANISMO,Masculino,0
AUSTRIA,2021,ANTIGITANISMO,Persona jurídica,0
AUSTRIA,2021,ANTIGITANISMO,Se desconoce,0
AUSTRIA,2021,ANTIGITANISMO,TOTAL sexo,0
AZERBAIYÁN,2021,ANTIGITANISMO,Femenino,0
AZERBAIYÁN,2021,ANTIGITANISMO,Masculino,0
AZERBAIYÁN,2021,ANTIGITANISMO,Persona jurídica,0
AZERBAIYÁN,2021,ANTIGITANISMO,Se desconoce,0
