anyo,ambito,total_nacionalidad,espana,foreign,pct_spanish
2021,ANTIGITANISMO,0,0,0,
2021,ANTISEMITISMO,24,22,2,91.7
2021,APOROFOBIA,10,8,2,80.0
2021,CREENCIAS O PRÁCTICAS RELIGIOSAS,57,39,18,68.4
2021,DISCRIMINACIÓN GENERACIONAL,0,0,0,
2021,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0,0,0,
2021,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0,0,0,
2021,DISFOBIA,186,176,10,94.6
2021,IDEOLOGÍA,0,0,0,
2021,ISLAMOFOBIA,0,0,0,
2021,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,558,488,70,87.5
2021,RACISMO/XENOFOBIA,438,184,254,42.0
2021,TOTAL ámbito,1874,1228,646,65.5
2022,ANTIGITANISMO,25,24,1,96.0
2022,ANTISEMITISMO,8,8,0,100.0
2022,APOROFOBIA,16,9,7,56.2
2022,CREENCIAS O PRÁCTICAS RELIGIOSAS,45,30,15,66.7
2022,DISCRIMINACIÓN GENERACIONAL,12,12,0,100.0
2022,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,13,13,0,100.0
2022,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,243,201,42,82.7
2022,DISFOBIA,29,19,10,65.5
2022,IDEOLOGÍA,206,177,29,85.9
2022,ISLAMOFOBIA,0,0,0,
2022,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,533,415,118,77.9
2022,RACISMO/XENOFOBIA,910,334,576,36.7
2022,TOTAL ámbito,2040,1242,798,60.9
2023,ANTIGITANISMO,28,26,2,92.9
2023,ANTISEMITISMO,21,14,7,66.7
2023,APOROFOBIA,16,11,5,68.8
2023,CREENCIAS O PRÁCTICAS RELIGIOSAS,42,28,14,66.7
2023,DISCRIMINACIÓN GENERACIONAL,20,15,5,75.0
2023,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,11,9,2,81.8
2023,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,301,197,104,65.4
2023,DISFOBIA,52,52,0,100.0
2023,IDEOLOGÍA,255,237,18,92.9
2023,ISLAMOFOBIA,0,0,0,
2023,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,561,454,107,80.9
2023,RACISMO/XENOFOBIA,960,366,594,38.1
2023,TOTAL ámbito,2267,1409,858,62.2
2024,ANTIGITANISMO,18,17,1,94.4
2024,ANTISEMITISMO,22,13,9,59.1
2024,APOROFOBIA,21,14,7,66.7
2024,CREENCIAS O PRÁCTICAS RELIGIOSAS,48,32,16,66.7
2024,DISCRIMINACIÓN GENERACIONAL,12,11,1,91.7
2024,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,10,9,1,90.0
2024,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,251,189,62,75.3
2024,DISFOBIA,31,29,2,93.5
2024,IDEOLOGÍA,126,116,10,92.1
2024,ISLAMOFOBIA,20,9,11,45.0
2024,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,550,429,121,78.0
2024,RACISMO/XENOFOBIA,864,318,546,36.8
2024,TOTAL ámbito,1973,1186,787,60.1
