row_id,wave_year,violence_type,violence_type_label,relationship_category,pct,population_estimate,sample_note,source_document,source_table,source_url,confidence,notes
1,2015,sexual_violence_outside_partner_all,All sexual violence outside partner (lifetime),desconocido,50.5,,"footnote only, sample size not republished",Macroencuesta_2019.pdf,"footnote 127, p.158 (cites 2015 wave)",https://violenciagenero.igualdad.gob.es/violenciaencifras/estudios/colecciones/libro-22-macroencuesta/,medium,"2015-wave figure quoted inside the 2019 report's footnote 127, not independently re-verified against the original 2015 PDF. 'Tocamientos y otras formas similares de violencia sexual pero que no han sufrido una violacion ni un intento de violacion' -- i.e. non-penetrative touching only, not the 2019/2024 'otras formas' bucket (those aren't identically defined across waves)."
2,2015,attempted_rape,Attempted rape (intento de violación) outside partner (lifetime),desconocido,30.0,,"footnote only",Macroencuesta_2019.pdf,"footnote 127, p.158 (cites 2015 wave)",https://violenciagenero.igualdad.gob.es/violenciaencifras/estudios/colecciones/libro-22-macroencuesta/,medium,"See row 1 note on 2015-figure provenance."
3,2015,rape,Rape (violación) outside partner (lifetime),desconocido,18.8,,"footnote only",Macroencuesta_2019.pdf,"footnote 127, p.158 (cites 2015 wave)",https://violenciagenero.igualdad.gob.es/violenciaencifras/estudios/colecciones/libro-22-macroencuesta/,medium,"See row 1 note on 2015-figure provenance. Establishes the same known>stranger severity gradient later confirmed with full tables in the 2024 wave (rows 10-18)."
4,2019,sexual_violence_outside_partner_all,All sexual violence outside partner (lifetime),familiar,21.6,,N=620 women (multiple response; % don't sum to 100),Macroencuesta_2019.pdf,"Mujeres...segun vinculo que las une con el agresor (II), p.159",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta_2019_estudio_investigacion.pdf,high,"2019 questionnaire could not ask relationship-to-perpetrator separately per violence-severity type (length constraints, see report's own text p.158) -- this is ONE pooled figure across every kind of sexual violence outside partner (touching through rape), unlike 2024's by-severity breakdown (rows 10-18). Male+female perpetrator rows summed (familiar hombre 21.6% + familiar mujer 0.0% = 21.6%)."
5,2019,sexual_violence_outside_partner_all,All sexual violence outside partner (lifetime),conocido,50.5,,N=620 women,Macroencuesta_2019.pdf,"Mujeres...segun vinculo que las une con el agresor (II), p.159",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta_2019_estudio_investigacion.pdf,high,"amigo/conocido hombre 49.0% + amiga/conocida mujer 1.5% = 50.5%. See row 4 note on pooled-severity caveat."
6,2019,sexual_violence_outside_partner_all,All sexual violence outside partner (lifetime),desconocido,39.1,,N=620 women,Macroencuesta_2019.pdf,"Mujeres...segun vinculo que las une con el agresor (II), p.159",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta_2019_estudio_investigacion.pdf,high,"desconocido hombre 39.1% + desconocida mujer 0.0% = 39.1%. See row 4 note on pooled-severity caveat."
7,2024,rape,Rape (violación) outside partner (lifetime),familiar,23.1,151898,women who answered the perpetrator-sex question,Macroencuesta_2024.pdf,"Tabla 16.21, p.270",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta-2024.pdf,high,"Familiar hombre only (familiar mujer suppressed, sample <6). 2024 is the first wave to ask relationship-to-perpetrator separately per severity tier (violación / intento / otras formas) -- directly comparable across severity within this wave, per the report's own Tabla 16.21."
8,2024,rape,Rape (violación) outside partner (lifetime),conocido,62.7,412660,women who answered the perpetrator-sex question,Macroencuesta_2024.pdf,"Tabla 16.21, p.270",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta-2024.pdf,high,"Amigo/conocido hombre only (amiga/conocida mujer suppressed, sample <6). Report highlights this category's single largest sub-item as men with a prior casual/sporadic sexual relationship short of being a partner (31.6% of rape victims on its own, Tabla 16.20 p.268 row 5) -- a relationship type with no equivalent row in MIR's police-report table."
9,2024,rape,Rape (violación) outside partner (lifetime),desconocido,12.0,78730,women who answered the perpetrator-sex question,Macroencuesta_2024.pdf,"Tabla 16.21, p.270",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta-2024.pdf,high,"Desconocido hombre only (desconocida mujer suppressed, sample <6). Report's own framing: '88% de las mujeres victimas de una violacion mencionan como agresor a un hombre que conocian de forma previa a la agresion' (p.269)."
10,2024,attempted_rape,Attempted rape (intento de violación) outside partner (lifetime),familiar,17.9,118162,women who answered the perpetrator-sex question,Macroencuesta_2024.pdf,"Tabla 16.21, p.270",https://violenciagenero.igualdad.gob.es/wp-content/uploads/Macroencuesta-2024.pdf,high,"Familiar hombre only (familiar mujer suppressed, sample <6)."
