"row_id","report","report_year","data_year_start","data_year_end","crime_type","actor_role","nationality_group","iso2","count","pct","denominator","denominator_value","unit","source_table","confidence","notes"
"1","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","perpetrator","foreign","ALL_FOREIGN","588","43.3","autores_with_known_nationality","1033","count_detained","descriptivos_generales","high","Sample: 491 hechos, 1359 autores total; 24.0% nationality unknown. Country: Basque Country excluded. Period: 2013-2017."
"2","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","perpetrator","spanish","ES","445","32.7","autores_with_known_nationality","1033","count_detained","descriptivos_generales","high","Same sample as foreign row."
"3","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","perpetrator","Marruecos","MA","129","9.5","autores_total_sample","1359","count_detained","descriptivos_generales","high","Top foreign countries among all perpetrators."
"4","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","perpetrator","Rumanía","RO","95","7.0","autores_total_sample","1359","count_detained","descriptivos_generales","high","Top foreign countries among all perpetrators."
"5","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","perpetrator","Ecuador","EC","55","4.0","autores_total_sample","1359","count_detained","descriptivos_generales","high","Top foreign countries among all perpetrators."
"6","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","victim","spanish","ES","320","61.0","victimas_total_identified","523","count_victims","descriptivos_generales","high","0.4% (2 cases) nationality unknown."
"7","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence","victim","foreign","ALL_FOREIGN","203","38.7","victimas_total_identified","523","count_victims","descriptivos_generales","high","0.4% (2 cases) nationality unknown."
"8","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence_dos_autores","perpetrator","spanish","ES","209","34.9","autores_with_known_nationality_in_subcategory","476","count_detained","dos_autores_vs_grupos","high","Subcategory: dos_autores. ~20-27% nationality unknown in each group."
"9","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence_dos_autores","perpetrator","foreign","ALL_FOREIGN","267","44.6","autores_with_known_nationality_in_subcategory","476","count_detained","dos_autores_vs_grupos","high","Subcategory: dos_autores. ~20-27% nationality unknown in each group."
"10","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence_grupos_3plus","perpetrator","spanish","ES","236","31.0","autores_with_known_nationality_in_subcategory","557","count_detained","dos_autores_vs_grupos","high","Subcategory: grupos_3plus. ~20-27% nationality unknown in each group."
"11","MIR_GroupSexualViolence_2023","2023","2013","2017","group_sexual_violence_grupos_3plus","perpetrator","foreign","ALL_FOREIGN","321","42.2","autores_with_known_nationality_in_subcategory","557","count_detained","dos_autores_vs_grupos","high","Subcategory: grupos_3plus. ~20-27% nationality unknown in each group."
