source_table,period,year,crime_type,age_group,nationality,location,relationship,count,confidence,notes
1,2015-2019,2015,ABUSO SEXUAL,,,,,3393,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015,AGRESIÓN SEXUAL,,,,,1580,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015,AGRESIÓN SEXUAL CON PENETRACIÓN,,,,,1049,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015,ABUSO SEXUAL CON PENETRACIÓN,,,,,432,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015,ACOSO SEXUAL,,,,,237,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015,MUTILACION GENITAL,,,,,1,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015,TOTAL,,,,,6692,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,ABUSO SEXUAL,,,,,3916,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,AGRESIÓN SEXUAL,,,,,1582,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,AGRESIÓN SEXUAL CON PENETRACIÓN,,,,,1062,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,ABUSO SEXUAL CON PENETRACIÓN,,,,,629,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,ACOSO SEXUAL,,,,,317,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,MUTILACION GENITAL,,,,,0,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2016,TOTAL,,,,,7506,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,ABUSO SEXUAL,,,,,4339,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,AGRESIÓN SEXUAL,,,,,1596,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,AGRESIÓN SEXUAL CON PENETRACIÓN,,,,,1193,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,ABUSO SEXUAL CON PENETRACIÓN,,,,,766,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,ACOSO SEXUAL,,,,,344,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,MUTILACION GENITAL,,,,,1,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2017,TOTAL,,,,,8239,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,ABUSO SEXUAL,,,,,5690,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,AGRESIÓN SEXUAL,,,,,1772,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,AGRESIÓN SEXUAL CON PENETRACIÓN,,,,,1454,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,ABUSO SEXUAL CON PENETRACIÓN,,,,,1019,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,ACOSO SEXUAL,,,,,435,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,MUTILACION GENITAL,,,,,1,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2018,TOTAL,,,,,10371,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,ABUSO SEXUAL,,,,,6368,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,AGRESIÓN SEXUAL,,,,,1918,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,AGRESIÓN SEXUAL CON PENETRACIÓN,,,,,1609,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,ABUSO SEXUAL CON PENETRACIÓN,,,,,1104,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,ACOSO SEXUAL,,,,,523,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,MUTILACION GENITAL,,,,,3,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2019,TOTAL,,,,,11525,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015-2019,ABUSO SEXUAL,,,,,23706,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015-2019,AGRESIÓN SEXUAL,,,,,8448,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015-2019,AGRESIÓN SEXUAL CON PENETRACIÓN,,,,,6367,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
1,2015-2019,2015-2019,ABUSO SEXUAL CON PENETRACIÓN,,,,,3950,high,"From MIR_ViolenceWomen_2015-2019.pdf, Violencia Sexual chapter"
