row_id,nationality,iso2,applications_pct,applications_estimated,total_applications,application_window,source_name,source_url,confidence,notes
1,Colombia,CO,25.9,304219,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"Provisional data as of the 2026-07-02 application-window close. Full quoted ranking: Colombia 25.9%, Morocco 13.3%, Venezuela 11.8%, Peru 8.8%, Honduras 4.8%, Paraguay 3.8%, Algeria 3.4%, Senegal 2.9%, Pakistan 2.5%, Argentina 2.3%, other 20.5% (sums to 100.0%, internally consistent). Also corroborated for total/Colombia/Morocco/Venezuela/Peru/Honduras by La Moncloa press release (lamoncloa.gob.es, 2026-07-02) and Atalayar."
2,Morocco,MA,13.3,156272,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
3,Venezuela,VE,11.8,138647,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
4,Peru,PE,8.8,103398,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
5,Honduras,HN,4.8,56399,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
6,Paraguay,PY,3.8,44649,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
7,Algeria,DZ,3.4,39949,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration. This is the only source found with Algeria broken out individually (not just folded into an 'Africa' aggregate) -- see reports/algeria_morocco_divergence.md H2 section."
8,Senegal,SN,2.9,34074,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
9,Pakistan,PK,2.5,29374,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
10,Argentina,AR,2.3,27024,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,medium,"See row 1 note for full ranking + corroboration."
11,Other/unspecified,OTHER,20.5,240871,1174978,2026-04-16 to 2026-06-30,El Espanol (quoting provisional Ministry data),https://www.elespanol.com/espana/20260702/colombianos-marroquies-venezolanos-ranking-regularizacion-total-solicitudes/1003744307730_0.html,low,"Residual bucket, not attributable to any single nationality. Includes Africa's non-Morocco/non-Algeria countries plus every other nationality outside the named top 10."
