ccaa,year,n_fires,superficie_ha,personal_units_sum,medios_units_sum,gastos_eur_sum,fires_with_gastos_reported,gastos_coverage_pct
Andalucía,1968,114,10725.9,4832,42,4.0,2,1.8
Andalucía,1969,104,8335.2,4022,40,0.0,0,0.0
Andalucía,1970,161,6476.6,4047,19,0.0,0,0.0
Andalucía,1971,89,3199.7,2978,34,0.0,0,0.0
Andalucía,1972,91,7928.0,3572,42,14.0,2,2.2
Andalucía,1973,229,16420.2,9424,123,17.0,9,3.9
Andalucía,1974,319,23467.3,9305,191,48.0,13,4.1
Andalucía,1975,233,47355.7,9684,168,19.0,5,2.1
Andalucía,1976,206,15547.8,4972,116,2.0,2,1.0
Andalucía,1977,279,20050.7,4532,79,17.0,14,5.0
Andalucía,1978,350,27652.2,6579,132,36.0,21,6.0
Andalucía,1979,299,10348.4,4264,144,23.0,11,3.7
Andalucía,1980,717,43861.6,27790,518,119.0,46,6.4
Andalucía,1981,615,27338.9,20680,310,70.0,29,4.7
Andalucía,1982,459,17822.5,18264,217,24.0,17,3.7
Andalucía,1983,472,12736.9,21107,410,134.0,41,8.7
Andalucía,1984,509,21943.8,20398,267,90.0,26,5.1
Andalucía,1985,838,50995.1,35922,550,85.0,19,2.3
Andalucía,1986,674,37609.8,29832,581,110.0,41,6.1
Andalucía,1987,477,11628.3,15998,498,101.0,43,9.0
Andalucía,1988,589,22286.3,20029,2146,180274.0,272,46.2
Andalucía,1989,879,17519.7,25506,2023,229479.0,398,45.3
Andalucía,1990,1069,17613.9,31571,2393,146588.0,267,25.0
Andalucía,1991,1417,65127.5,49755,5591,409062.0,202,14.3
Andalucía,1992,820,18718.1,26859,2711,196123.0,143,17.4
Andalucía,1993,643,17211.5,24675,4206,78200.0,45,7.0
Andalucía,1994,813,36008.4,34868,4262,111621.0,200,24.6
Andalucía,1995,505,12821.0,23294,3482,1897053.0,60,11.9
Andalucía,1996,257,1191.3,7627,1146,133208.0,13,5.1
Andalucía,1997,264,2861.91,10060,1284,149967.0,23,8.7
Andalucía,1998,540,5086.92,17019,2243,624937.0,123,22.8
Andalucía,1999,313,6514.02,14077,1510,2100597.0,58,18.5
Andalucía,2000,385,5281.13,14785,1689,1134026.0,80,20.8
Andalucía,2001,400,7210.5,16628,1712,1585093.0,83,20.8
Andalucía,2002,494,10468.78,19799,2219,1732314.0,87,17.6
Andalucía,2003,431,11696.53,20426,2549,7000569.0,99,23.0
Andalucía,2004,476,51132.54,23594,2852,2495816.0,115,24.2
Andalucía,2005,515,14147.27,23962,2465,4087578.0,148,28.7
Andalucía,2006,307,5339.42,16229,1859,2089256.0,63,20.5
Andalucía,2007,289,6148.44,14879,1718,2708540.0,88,30.4
Andalucía,2008,204,2760.6,10442,1145,863990.0,66,32.4
Andalucía,2009,320,13398.35,17789,2113,592781.0,87,27.2
Andalucía,2010,171,1405.38,8098,902,235381.0,35,20.5
Andalucía,2011,203,2914.41,10242,1140,53426.0,18,8.9
Andalucía,2012,231,12676.08,14219,1588,165434.0,50,21.6
Andalucía,2013,228,2734.61,11162,1236,51256.0,19,8.3
Andalucía,2014,224,8000.45,13063,1369,113319.0,32,14.3
Andalucía,2015,238,14097.29,13332,1473,275268.0,28,11.8
Andalucía,2016,220,4472.4800000000005,11321,1406,89256.0,31,14.1
Andalucía,2017,309,18511.2812,20102,2363,209640.0,30,9.7
Andalucía,2018,187,3593.8761,10233,1424,50333.0,20,10.7
Andalucía,2019,274,6911.1681,14213,1908,145320.0,30,10.9
Andalucía,2020,266,19546.2316,16102,1972,352467.0,42,15.8
Andalucía,2021,294,15513.7851,18659,2048,268922.0,39,13.3
Andalucía,2022,237,18972.888,16233,1815,157857.0,8,3.4
Aragón,1968,21,98.2,130,5,0.0,0,0.0
Aragón,1969,18,495.9,317,10,0.0,0,0.0
Aragón,1970,38,755.0,412,6,0.0,0,0.0
Aragón,1971,23,828.6,688,7,6.0,1,4.3
Aragón,1972,9,26.0,34,0,0.0,0,0.0
Aragón,1973,53,1245.9,890,7,18.0,1,1.9
Aragón,1974,54,715.1,765,8,0.0,0,0.0
Aragón,1975,59,1712.6,2009,23,0.0,0,0.0
Aragón,1976,61,710.1,388,1,0.0,0,0.0
Aragón,1977,23,905.8,363,11,0.0,0,0.0
Aragón,1978,118,3278.4,2908,48,26.0,10,8.5
Aragón,1979,29,1237.7,756,8,12.0,6,20.7
Aragón,1980,153,11145.9,9034,89,84.0,18,11.8
Aragón,1981,196,8028.6,6736,148,43.0,15,7.7
Aragón,1982,94,3124.7,3796,48,22.0,11,11.7
Aragón,1983,118,7098.6,7577,134,71.0,26,22.0
Aragón,1984,116,4129.3,7787,190,110.0,24,20.7
Aragón,1985,110,4699.2,6906,124,77.0,24,21.8
Aragón,1986,84,9712.1,5062,94,54.0,18,21.4
Aragón,1987,63,1827.0,4762,106,30.0,11,17.5
Aragón,1988,115,1501.9,3516,216,23362.0,50,43.5
Aragón,1989,190,2241.1,5133,251,139588.0,75,39.5
Aragón,1990,112,1161.1,3770,269,25371.0,32,28.6
Aragón,1991,121,7965.900000000001,7208,468,110472.0,44,36.4
Aragón,1992,98,556.4,2653,105,14376.0,21,21.4
