ccaa,year,personnel,personnel_note,helicopters,fixed_wing_aircraft,fire_trucks,private_contractor_note,source_name,source_ref,confidence
Andalucía,2026,4700,"Plan INFOCA seasonal device professionals",27,15,108,"1 helicopter operated by Enresa (state-owned); otherwise predominantly public Junta-operated fleet per source",Andalucía Informa / El Diario (2026-05) + Servicios Emergencia,https://andaluciainforma.eldiario.es/empleo/andalucia-refuerza-el-plan-infoca-2026-con-un-operativo-especial-formado-por-4-700-profesionales/,low
Comunidad Valenciana,2026,4401,"2026 integrated device, incl. province breakdown (2313 Valencia/977 Alicante/973 Castellón/100+ technicians)",9,9,56,"No private contractors mentioned in source",Servicios Emergencia / Valencia Plaza (2026-07),https://serviciosemergencia.es/noticia/5082-casi-300-millones-de-euros-de-presupuesto-y-4-400-efectivos-la-generalitat-valenciana-presenta-el-mayor-operativo-contra-incendios-forestales-de-su-historia/,low
Castilla y León,2026,,"111 ROMEO ground crews + 9 UBAS brigades (1/province) — headcount not given as a single total in source",26,1,,"Private helicopter leasing contracted for 2026 (5 helicopters/brigades), 7 more planned 2027 — source doesn't name the operator(s)",El Debate (2026-02 to 2026-07),https://www.eldebate.com/espana/castilla-y-leon/20260715/castilla-leon-reforzara-operativo-contra-incendios-100-millones-cuadrillas-siete-nuevos-helicopteros_440066.html,low
Cataluña,2026,5000,"Integrated device: Bombers Generalitat + Mossos d'Esquadra + forest brigades + volunteers; 56 terrestrial forest brigades",20,,45,"Regional Bombers + volunteer ADF (Agrupacions de Defensa Forestal); no private contractors mentioned",Moncloa / Servicios Emergencia (2026-05),https://serviciosemergencia.es,low
Aragón,2026,627,"Daily professionals; 62 terrestrial brigades",8,1,41,"No private contractors identified in source",Ecoticias / Aragón Digital (2026),https://www.ecoticias.com/medio-ambiente/aragon-activa-el-dispositivo-infoar-contra-incendios,low
Región de Murcia,2026,450,"Daily: 19 forest brigades + 5 rapid-intervention brigades + 11 municipal emergency brigades + 145 daily firefighters",3,,,"All personnel from public services/municipal brigades per source; 1 additional state helicopter during high-danger period (Jun-Sep)",La 7TV / Región de Murcia (2026-04),https://www.la7tv.es/articulo/region/region-activa-plan-infomur-mas-450-efectivos-diarios-prevenir-incendios-forestales/20260401112426066799.html,low
Cantabria,2026,400,"Ground personnel",2,,,"Both named helicopters (Maya Dama, Delta Romeo) explicitly described as contracted/leased; Maya Dama incorporated Dec 2024, 360000 EUR for helicopter operations cited separately",Cantabria.es / El Diario (2024-12, active through 2026),,low
Comunidad Foral de Navarra,2026,180,"Summer reinforcement: 87 drivers + 93 laborers; ~100 deployed daily on top of base personnel",4,,21,"4 regional + 2 MITECO state helicopters; no private contractor named",El Diario / Servicios Emergencia (2026-06),https://www.eldiario.es/navarra/navarra-contara-seis-helicopteros-reforzara-180-efectivos-bomberos-campana-forestal-verano_1_13285342.html,low
La Rioja,2026,335,"17 prevention/extinction teams + 86 forest agents + 1 helitransported brigade + 18 duty technicians + 96 permanent forestry firefighters",1,2,22,"Bell-412 helicopter contracted by regional government; 2 AT-802 cargo aircraft contracted by national Ministry — both explicitly private-operator contracts per source",El Diario / Actualidad La Rioja (2026-06),https://actualidad.larioja.org/noticia?n=not-mas-de-300-profesionales-y-un-completo-equipamiento-tecnico-afrontan-la-temporada-de-alto-ries,low
Islas Baleares,2026,350,"Ibanat + Forest Management Service + Environmental Agents",5,3,24,"No private contractors mentioned in source; drone unit with thermal imaging also deployed",La Voz de Ibiza / COPE (2026-05/06),https://lavozdeibiza.com/actualidad/un-ejercito-de-drones-con-vision-nocturna-e-infrarroja-en-la-campana-contra-incendios-forestales-de-2026/,low
Canarias,2026,2556,"~450 more than 2025",19,,202,"EIRIF (Emergency & Rescue Group) operates equipment; no private contractor named; 23 thermal-imaging drones also deployed",El Diario / Diario de Avisos (2026-05/06),https://www.eldiario.es/canariasahora/sociedad/canarias-activa-lunes-campana-incendios-forestales-2026-2-600-efectivos-19-medios-aereos_1_13264072.amp.html,low
País Vasco,2026,,"Bizkaia ~90 (15 crews x6 + 5 surveillance teams + 15 technicians); Araba 11 professionals; Gipuzkoa not separately reported — decentralized 3-diputación model, no single regional total in source",1,,10,"Basalan (Bizkaia's own public forestry company) provides personnel; shared helicopter cost split Bizkaia 32.66%/Araba 22.32%/Gipuzkoa 27.52%/Basque Govt 17.50%",Bizkaia.eus / BizkaiaGaur (2026-07),https://www.bizkaiagaur.com/2026/07/20/bizkaia-mantiene-en-servicio-su-helicoptero-de-extincion-para-mejorar-la-lucha-contra-los-incendios-forestales,low
Principado de Asturias,2026,600,"Stable year-round personnel, 24h/365-day surveillance",,,,"No aircraft/truck counts disclosed in source; public personnel model (environmental agents + Principality staff), no private contractors mentioned",Servicios Emergencia / Asturias.es (2026-04 to 07),https://serviciosemergencia.es/noticia/4671-nuevo-plan-contra-incendios-forestales-de-asturias-vigilancia-las-24-horas-mas-de-600-efectivos-y-28-millones-de-euros/,low
Comunidad de Madrid,2026,2030,"1680 Cuerpo de Bomberos + 350 Cuerpo de Agentes Forestales (INFOMA-specific personnel; separate from the 2100 TRAGSA-managed forest-brigade workforce cited elsewhere in this project's sources)",10,,27,"TRAGSA (state-owned) manages ~2100 forest-brigade personnel under encargo (see wff_spending.csv notes); aerial fleet contracted to SKY HELICÓPTEROS/ELIANCE/PEGASUS per public procurement records (see SOURCES_INDEX.md)",WebSearch aggregation of comunidad.madrid INFOMA26 announcements (2026-06),https://www.comunidad.madrid/seguridad-emergencias-asem-112/infoma26,low
