ccaa,year,amount_eur,spend_type,program_code,program_name,plan_name,coverage,source_name,source_ref,notes,confidence
Andalucía,2020.0,171900000.0,presupuestado,,,Plan INFOCA,total,osbodigital.es (2020-06-02),https://osbodigital.es/2020/06/02/el-infoca-tiene-un-presupuesto-de-1719-millones-de-euros/,First point in the Andalucía time series — not cross-checked against a second 2020 source,low
Andalucía,2021.0,175100000.0,presupuestado,,,Plan INFOCA,total,Regional press coverage (2021),,"90.9M extinción + 84.2M prevención disclosed for this year specifically, even though the category split isn't tracked as a separate column this pass — recorded here in notes only",low
Andalucía,2023.0,223000000.0,presupuestado,,,Plan INFOCA,total,Regional press coverage (2023),,"125M prevención + 98M extinción disclosed — first year prevention exceeded extinction per this source; +27% vs 2022 (2022 figure itself not directly sourced, only inferred from this delta, so not added as its own row)",low
Andalucía,2024.0,244000000.0,presupuestado,,,Plan INFOCA,total,COPE Huelva (2024-06-03),https://www.cope.es/emisoras/andalucia/huelva-provincia/huelva/noticias/plan-infoca-2024-cuenta-con-244-millones-euros-presupuesto-20240603_3330735,"~135M prevención + ~108M extinción disclosed (sums to 243M, ~1M rounding vs the 244M headline)",low
Andalucía,2026.0,300000000.0,presupuestado,,,Plan INFOCA,total,El Debate (2026-07-27),https://www.eldebate.com/espana/20260727/asi-invierten-comunidades-lucha-contra-incendios-madrid-entre-presupuesto-proporcional-destina_443841.html,"Democrata.es reports 271.6M for the same plan/year — figures conflict by ~10%, not yet reconciled against the official Junta de Andalucía budget law",low
Comunidad Valenciana,2026.0,298470000.0,presupuestado,,,(regional wildfire budget),total,Demócrata (2026),https://www.democrata.es/politicas/comunidades-mas-invierten-en-incendios-forestales-ranking-gasto-en-espana-en-2026/,Highest absolute figure found across sources for 2026,low
Galicia,2026.0,190000000.0,presupuestado,,,Plan PLADIGA,total,El Debate (2026-07-27),https://www.eldebate.com/espana/20260727/asi-invierten-comunidades-lucha-contra-incendios-madrid-entre-presupuesto-proporcional-destina_443841.html,"Demócrata.es reports 213M for the same plan/year — figures conflict, not yet reconciled against the official Xunta budget law",low
Castilla-La Mancha,2025.0,116000000.0,presupuestado,,,Plan INFOCAM,total,"Gobierno de Castilla-La Mancha, nota de prensa",https://www.castillalamancha.es/actualidad/notasdeprensa/castilla-la-mancha-destina-m%C3%A1s-de-dos-millones-de-euros-la-eliminaci%C3%B3n-de-restos-forestales-que,A different outlet (cmmedia.es) cites 112M (55M extinción + 57M prevención) for the same year/plan — same ~3-4% conflict pattern as the 2026 row,medium
Castilla-La Mancha,2026.0,126000000.0,presupuestado,,,Plan INFOCAM,total,"Gobierno de Castilla-La Mancha, nota de prensa",https://www.castillalamancha.es/actualidad/notasdeprensa/el-gobierno-regional-invertir%C3%A1-126-millones-de-euros-en-prevenci%C3%B3n-y-extinci%C3%B3n-de-incendios,"Official regional-government source, but other press coverage of the same plan cites 112M and 116M for 2025 — year-over-year figures not yet cleanly separated",medium
Castilla y León,2026.0,222700000.0,presupuestado,,,(regional wildfire device),total,Demócrata (2026),https://www.democrata.es/politicas/comunidades-mas-invierten-en-incendios-forestales-ranking-gasto-en-espana-en-2026/,"Third-highest absolute figure found for 2026; conflicts with the Junta's own 169.63M figure (see sibling row) — scope discrepancy unresolved: Demócrata may include broader Consejería de Medio Ambiente spending beyond fire-specific lines",low
Castilla y León,2026,169630000,presupuestado,,"Prevención y extinción de incendios forestales (total presupuestado, including chapters VI+VII + personnel + Bierzo)",,total,"Comparecencia del consejero Suárez-Quiñones ante la Comisión de Medio Ambiente, Cortes de Castilla y León (2026-01-14)","Infobierzo (2026-01-14) / Palencia en la Red (2026-01-14) / El Norte de Castilla (2026-06-03) — citing the Junta's own Cortes testimony","Junta's own official figure presented to the Cortes: €151M chapters VI+VII + €16M personnel (after extending fijo-discontinuo to full-year) + €2.63M Consejo Comarcal del Bierzo = €169.63M. Later press summaries (June 2026) cite ~€160M for the operativo alone — this is the same INFOCAL budget at a different point in the approval cycle. NOTE: Castilla y León's 2026 budgets are PROROGUED from 2024 with modifications (not a new budget law), per C7. The earlier 104.3M presupuestado figure (2025) was the narrower 'Programas de Prevención y Extinción' line only — this 169.63M is the broader total that includes all wildfire-related spending across programs.",low
Extremadura,2026.0,116800000.0,presupuestado,,,Plan INFOEX,total,Demócrata (2026),https://www.democrata.es/politicas/comunidades-mas-invierten-en-incendios-forestales-ranking-gasto-en-espana-en-2026/,"Junta de Extremadura's own 2025 note cites 73M for the Dirección General de Prevención y Extinción de Incendios Forestales specifically (a narrower scope than this figure, which may include the broader Consejería) — scope mismatch not yet resolved",low
País Vasco,2025.0,100200000.0,presupuestado,,,(no single regional plan — 3 diputaciones forales),total,zuk.eus (Diputación de Álava coverage) + regional council press notes,https://zuk.eus/prevencion-incendios-forestales-alava/,"Sum of Bizkaia (49M, incl. full fire brigade budget not just wildfire), Álava (20.2M), Gipuzkoa (40M, incl. broader rescue services) — each diputación bundles wildfire funding with general firefighting/rescue services, so this total over-counts relative to the other rows' narrower wildfire-only scope",low
Principado de Asturias,2026.0,78000000.0,presupuestado,,,(regional wildfire device),total,El Debate (2026-07-27),https://www.eldebate.com/espana/20260727/asi-invierten-comunidades-lucha-contra-incendios-madrid-entre-presupuesto-proporcional-destina_443841.html,Reported as the largest wildfire budget in the region's history,low
Comunidad de Madrid,2026.0,52700000.0,presupuestado,,,Plan INFOMA,total,El Debate (2026-07-27),https://www.eldebate.com/espana/20260727/asi-invierten-comunidades-lucha-contra-incendios-madrid-entre-presupuesto-proporcional-destina_443841.html,Reported as a 35% increase year-over-year; article separately claims Madrid has one of the highest per-forest-hectare investment rates in Europe (unverified),low
Aragón,2026.0,54000000.0,presupuestado,,,Plan INFOAR,total,Demócrata (2026),https://www.democrata.es/politicas/comunidades-mas-invierten-en-incendios-forestales-ranking-gasto-en-espana-en-2026/,"Reported as 'supera los 54 millones' — a lower bound, exact figure not found",low
Región de Murcia,2026.0,28000000.0,presupuestado,,,(regional wildfire device — future contract),total,"El Debate (2026-07-27) / La Opinión (2026-07-20) / elDiario.es Murcia (2026-07-20)","https://www.eldebate.com/espana/20260727/asi-invierten-comunidades-lucha-contra-incendios-madrid-entre-presupuesto-proporcional-destina_443841.html","El Debate's 28M figure is the PROJECTED annual average of the 140M€ 2028-2032 contract (28M€/yr), NOT the 2026 current budget. See sibling rows for actual current spending.",low
Región de Murcia,2026.0,16000000.0,presupuestado,,,Servicio de Prevención Selvícola y Defensa del Patrimonio Natural (current contract 2023-2027, annual avg),total,"La Opinión (2026-07-20) / elDiario.es Murcia (2026-07-20) / La Verdad (2026-07-20)","https://www.laopiniondemurcia.es/comunidad/2026/07/20/region-destinara-140-millones-bomberos-132628364.html","Current forest fire service contract (2023-2027): ~80M€ total ≈ 16M€/year. Covers 350 forest firefighters, prevention + extinction selvícola. Future 2028-2032 contract: 140M€ total ≈ 28M€/year (+75%), adding 29 new posts (total 379), 91% with 12-month contracts. Also covers 157 4x4 vehicle acquisition (>8M€ adjudicated). Does NOT include aerial means (see sibling row).",low
Región de Murcia,2026.0,21000000.0,presupuestado,,,(prevention — forest decline treatments, 20 months),partial,"La Opinión (2026-07-27)","https://www.laopinionmurcia.es/comunidad/2026/07/27/region-murcia-fortalece-dispositivo-forestal-132845797.html","Additional prevention spending: 21M€ over 20 months for forest decline treatment and prevention works. ~500 people working on prevention. Announced by Environment Ministry (Vázquez). Separate from the extinction-service contract rows.",low
